FIPS,2014 DR,2015 DR,2016 DR,2017 DR,2018 DR,2019 DR,2020 DR,2021 DR,2022 DR,2023 DR
01037,35.7,26.8,25.4,24.1,24.4,0.0,0.0,0.0,0.0,0.0
02063,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
02066,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
02158,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.9,0.0,0.0,0.0
02164,-9.0,-9.0,-9.0,-9.0,-9.0,0.3,0.0,0.0,0.0,0.0
02261,,,,,,18.0,0.0,0.0,0.0,0.0
08079,-9.0,-9.0,-9.0,-9.0,-9.0,0.1,0.0,0.0,0.0,0.2
08109,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
08111,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
12043,7.6,4.9,5.0,3.7,3.8,0.0,0.0,0.0,0.0,0.3
13101,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
13125,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,1.5,1.2
13183,0.3,0.0,0.1,0.1,-9.0,1.2,0.2,0.0,0.0,0.0
13265,-9.0,-9.0,-9.0,-9.0,-9.0,0.1,0.0,0.0,0.0,0.0
15005,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
16025,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
16033,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
17153,70.6,68.6,83.4,67.1,54.9,0.0,0.0,0.0,0.5,0.0
21201,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
26083,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
28055,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
29227,4.2,4.3,4.2,1.4,0.0,0.6,0.0,0.0,0.0,0.0
30037,-9.0,-9.0,-9.0,-9.0,-9.0,0.1,0.0,0.1,0.0,0.0
30069,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
30075,58.2,47.8,38.6,33.6,28.5,1.7,1.4,0.6,0.0,6.0
30103,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
30109,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.1
31005,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
31007,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
31009,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
31073,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.3,0.6
31075,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,5.1
31077,0.4,0.7,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
31103,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
31113,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
31115,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
31117,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
31165,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
31167,-9.0,-9.0,-9.0,-9.0,-9.0,2.0,0.0,1.7,1.4,1.8
31183,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
32009,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
38007,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
38027,108.1,95.9,81.0,74.5,77.3,0.6,0.2,0.0,0.1,0.2
38047,-9.0,0.3,0.4,-9.0,-9.0,13.7,0.0,0.0,0.0,0.0
38065,-9.0,-9.0,-9.0,-9.0,-9.0,0.1,0.1,0.0,0.0,0.0
38075,20.7,18.5,27.2,24.5,23.6,0.0,0.0,0.1,0.2,0.8
38085,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.3,0.5,0.6
38087,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
38091,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
41055,-9.0,-9.0,-9.0,-9.0,-9.0,22.3,4.9,0.0,0.0,1.2
46061,-9.0,-9.0,-9.0,-9.0,-9.0,0.6,0.3,0.0,0.0,0.0
46137,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48033,-9.0,-9.0,-9.0,-9.0,-9.0,1.3,0.0,0.0,0.0,0.0
48081,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48101,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48125,6.7,5.8,7.4,6.8,-9.0,0.1,0.0,0.0,0.0,0.0
48129,3.0,4.2,3.8,2.0,0.1,0.6,0.4,0.1,0.0,0.0
48137,-9.0,-9.0,-9.0,-9.0,-9.0,3.3,0.9,0.0,0.4,0.5
48173,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48205,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48229,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48235,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48247,3.3,1.6,34.6,24.6,19.2,0.0,0.0,0.0,0.0,0.0
48261,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48263,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48269,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48301,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48311,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
48345,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,9.8,15.7
48359,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.1
48393,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.7,5.3,15.0
48421,31.2,1.3,1.4,1.1,-9.0,0.6,0.3,0.4,0.3,0.0
49009,-9.0,-9.0,-9.0,-9.0,-9.0,1.5,1.0,0.1,0.0,0.2
49031,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.9,1.1,0.5
51049,35.5,33.1,29.3,21.7,18.2,0.1,0.0,0.0,0.1,0.2
51097,-9.0,-9.0,-9.0,-9.0,-9.0,2.2,0.5,0.2,0.0,0.0
51685,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0
51720,563.3,504.9,470.3,402.0,311.3,569.1,441.0,390.7,374.9,403.9
51775,242.5,220.7,206.0,181.1,156.7,390.2,377.7,396.4,379.3,342.2
51690,532.5,444.4,399.9,346.6,293.5,374.8,315.7,302.4,234.3,176.5
21193,243.4,217.6,209.3,205.2,203.6,319.2,284.7,280.5,270.0,264.5
42093,87.8,81.8,78.0,66.3,59.0,298.7,260.2,246.4,241.7,230.0
46127,74.5,77.8,70.1,61.2,76.1,280.1,225.5,189.4,173.4,163.5
21145,190.8,181.6,183.7,166.0,149.9,254.2,236.4,221.7,215.1,199.7
51840,201.6,189.9,175.0,137.3,123.4,227.9,218.1,204.9,217.5,236.0
51630,165.2,175.9,166.3,136.9,106.0,233.5,232.7,226.7,218.9,193.6
