FIPS,2010 Aged 17 or Younger,2011 Aged 17 or Younger,2012 Aged 17 or Younger,2013 Aged 17 or Younger,2014 Aged 17 or Younger,2015 Aged 17 or Younger,2016 Aged 17 or Younger,2017 Aged 17 or Younger,2018 Aged 17 or Younger,2019 Aged 17 or Younger,2020 Aged 17 or Younger,2021 Aged 17 or Younger,2022 Aged 17 or Younger
01001,87.74,87.13,86.53,85.92,85.32,84.22,83.13,79.21,75.29,72.58,69.86,69.74,69.62
01003,44.93,45.19,45.45,45.71,45.97,45.37,44.76,43.99,43.23,42.0,40.77,39.93,39.1
01005,30.2,30.97,31.74,32.5,33.27,34.72,36.17,34.72,33.27,33.22,33.16,33.24,33.31
01007,41.18,39.3,37.43,35.55,33.68,32.28,30.88,29.67,28.46,28.74,29.03,34.06,39.1
01009,68.3,68.01,67.72,67.43,67.14,65.9,64.66,64.36,64.06,64.47,64.89,64.7,64.52
01011,34.78,33.7,32.61,31.53,30.44,33.32,36.2,32.94,29.67,41.68,53.69,45.65,37.61
01013,61.96,61.53,61.1,60.67,60.24,60.88,61.51,58.64,55.78,53.99,52.2,53.32,54.44
01015,43.73,43.9,44.07,44.24,44.41,43.95,43.49,43.36,43.23,43.61,43.98,41.54,39.1
01017,38.22,37.25,36.29,35.32,34.35,34.51,34.67,31.56,28.46,30.16,31.86,33.15,34.43
01019,24.82,23.61,22.39,21.18,19.96,22.84,25.72,25.61,25.5,21.62,17.73,17.28,16.83
01021,75.04,74.47,73.89,73.32,72.75,72.54,72.33,73.81,75.29,74.82,74.35,74.05,73.75
01023,40.64,38.45,36.27,34.09,31.9,29.8,27.7,26.21,24.71,24.59,24.47,24.77,25.07
01025,70.17,67.48,64.79,62.1,59.41,55.34,51.26,48.84,46.42,44.43,42.43,46.28,50.14
01027,39.33,39.56,39.8,40.03,40.27,38.63,36.99,35.13,33.27,31.69,30.11,30.56,31.02
01029,56.11,58.21,60.31,62.4,64.5,63.83,63.16,61.16,59.15,57.18,55.22,58.41,61.6
01031,62.76,63.35,63.94,64.52,65.11,66.33,67.56,67.91,68.26,69.06,69.86,71.81,73.75
01033,32.33,33.25,34.17,35.09,36.01,36.32,36.64,35.84,35.05,34.1,33.16,34.32,35.48
01035,45.06,44.41,43.75,43.09,42.44,43.81,45.18,39.68,34.19,33.02,31.86,31.44,31.02
01037,16.35,14.8,13.26,11.71,10.16,9.44,8.72,7.05,5.38,5.25,5.12,4.81,4.49
01039,39.33,39.49,39.66,39.83,39.99,41.31,42.63,42.93,43.23,43.61,43.98,46.22,48.46
01041,57.06,56.77,56.49,56.2,55.91,55.02,54.12,52.81,51.51,51.86,52.2,57.66,63.12
01043,47.61,47.87,48.13,48.39,48.65,49.02,49.38,51.21,53.04,53.36,53.69,54.07,54.44
01045,71.51,70.62,69.72,68.83,67.94,66.88,65.81,64.94,64.06,63.22,62.38,64.01,65.64
01047,86.34,86.11,85.88,85.65,85.42,84.37,83.32,80.36,77.4,77.0,76.61,74.53,72.45
01049,82.2,81.63,81.05,80.48,79.91,79.67,79.43,79.35,79.27,78.91,78.55,77.47,76.39
01051,53.94,53.77,53.6,53.43,53.26,54.11,54.95,53.23,51.51,51.86,52.2,48.77,45.34
01053,40.42,40.98,41.54,42.1,42.66,44.2,45.75,47.4,49.06,51.38,53.69,56.83,59.97
01055,44.68,44.77,44.85,44.93,45.02,43.46,41.9,40.26,38.62,39.7,40.77,41.02,41.27
01057,34.78,35.11,35.44,35.77,36.1,35.84,35.59,36.53,37.47,37.1,36.73,37.17,37.61
01059,71.35,71.17,71.0,70.83,70.65,72.59,74.53,77.35,80.17,82.36,84.56,84.01,83.46
01061,36.15,37.24,38.32,39.41,40.5,42.36,44.22,45.32,46.42,47.24,48.06,48.26,48.46
01063,63.65,62.57,61.49,60.42,59.34,59.21,59.09,52.75,46.42,43.59,40.77,45.45,50.14
01065,71.61,69.92,68.23,66.54,64.85,64.28,63.71,63.88,64.06,64.47,64.89,67.25,69.62
01067,40.22,38.81,37.4,35.98,34.57,33.07,31.58,31.25,30.91,31.38,31.86,30.9,29.94
01069,67.37,67.47,67.58,67.68,67.78,67.81,67.84,65.95,64.06,63.82,63.59,63.36,63.12
01071,38.51,38.57,38.63,38.69,38.75,38.63,38.52,37.41,36.29,35.28,34.28,33.2,32.13
01073,52.0,53.0,54.0,55.0,56.0,57.19,58.39,58.77,59.15,59.45,59.74,59.86,59.97
01075,33.13,33.4,33.67,33.95,34.22,36.04,37.85,41.44,45.02,46.54,48.06,47.51,46.96
01077,26.6,26.41,26.22,26.04,25.85,25.49,25.12,23.37,21.62,21.63,21.64,21.14,20.65
01079,47.8,46.78,45.76,44.73,43.71,41.8,39.89,40.84,41.8,42.12,42.43,43.89,45.34
01081,38.63,38.33,38.03,37.74,37.44,38.14,38.84,38.16,37.47,36.6,35.74,35.61,35.48
01083,60.12,60.4,60.69,60.97,61.25,61.73,62.21,60.68,59.15,57.18,55.22,53.3,51.38
01085,62.5,62.07,61.64,61.21,60.78,60.32,59.85,57.81,55.78,53.99,52.2,51.17,50.14
01087,16.99,15.44,13.89,12.34,10.79,8.92,7.04,7.45,7.86,7.62,7.38,6.52,5.66
01089,56.52,55.48,54.43,53.38,52.34,50.94,49.54,47.98,46.42,46.09,45.77,44.2,42.63
01091,69.63,66.44,63.24,60.05,56.86,57.12,57.37,57.26,57.15,61.02,64.89,62.43,59.97
01093,27.72,27.43,27.13,26.84,26.55,28.94,31.33,32.3,33.27,32.56,31.86,34.73,37.61
01095,73.71,74.47,75.22,75.97,76.73,77.97,79.21,80.55,81.88,83.22,84.56,85.51,86.45
01097,74.72,74.07,73.41,72.76,72.11,71.22,70.33,69.3,68.26,68.5,68.75,67.91,67.07
01099,77.27,75.83,74.39,72.95,71.51,67.1,62.69,59.92,57.15,50.57,43.98,40.8,37.61
01101,66.61,67.9,69.19,70.47,71.76,66.06,60.36,63.74,67.11,67.93,68.75,70.6,72.45
01103,59.67,59.55,59.42,59.3,59.18,59.11,59.03,59.09,59.15,60.16,61.17,62.15,63.12
01105,61.58,60.51,59.45,58.38,57.31,53.68,50.05,45.92,41.8,39.27,36.73,37.17,37.61
01107,49.42,47.17,44.92,42.68,40.43,34.81,29.19,24.27,19.36,20.5,21.64,20.77,19.89
01109,14.44,14.64,14.85,15.05,15.25,17.75,20.25,19.39,18.53,17.02,15.5,16.17,16.83
01111,58.59,55.84,53.1,50.35,47.6,45.89,44.19,42.99,41.8,39.27,36.73,36.1,35.48
01113,79.31,79.78,80.25,80.71,81.18,81.86,82.55,81.36,80.17,78.39,76.61,77.56,78.52
01115,56.11,56.32,56.54,56.75,56.96,56.73,56.51,56.83,57.15,56.87,56.59,55.52,54.44
01117,80.2,79.66,79.12,78.57,78.03,77.08,76.12,74.37,72.62,70.14,67.66,64.63,61.6
01119,35.0,32.26,29.52,26.78,24.04,21.62,19.2,18.05,16.91,17.86,18.81,17.82,16.83
01121,51.3,50.34,49.38,48.43,47.47,46.38,45.3,41.38,37.47,37.1,36.73,35.02,33.31
01123,32.94,33.72,34.51,35.29,36.07,35.7,35.34,34.3,33.27,32.2,31.13,30.54,29.94
01125,25.46,26.23,27.0,27.76,28.53,29.2,29.86,30.38,30.91,32.59,34.28,32.11,29.94
01127,38.86,39.67,40.49,41.3,42.12,43.6,45.08,47.07,49.06,49.93,50.8,51.95,53.1
01129,79.31,76.37,73.44,70.5,67.56,65.28,63.01,55.29,47.56,42.73,37.91,35.02,32.13
01131,88.66,87.89,87.12,86.35,85.58,73.75,61.92,69.66,77.4,75.11,72.82,68.67,64.52
01133,27.37,27.98,28.59,29.19,29.8,29.75,29.7,30.3,30.91,29.54,28.17,27.99,27.81
02013,0.15,0.18,0.22,0.25,0.29,0.32,0.35,0.64,0.92,0.84,0.76,0.71,0.67
02016,0.57,1.09,1.61,2.12,2.64,2.48,2.32,3.39,4.46,7.02,9.58,8.2,6.81
02020,83.25,82.94,82.63,82.32,82.01,81.79,81.57,80.87,80.17,79.36,78.55,77.47,76.39
02050,99.8,99.8,99.79,99.78,99.78,99.8,99.81,99.72,99.62,99.62,99.62,99.61,99.59
02060,39.33,51.71,64.09,76.48,88.86,75.3,61.73,51.76,41.8,30.76,19.73,19.17,18.61
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,42.42,45.34
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.94,93.86,92.78
02068,38.22,34.98,31.74,28.49,25.25,15.98,6.72,3.47,0.22,0.18,0.13,0.51,0.89
02070,98.63,98.64,98.65,98.65,98.66,98.47,98.28,97.96,97.64,97.95,98.25,97.98,97.71
