FIPS,2010 Aged 65 or Older,2011 Aged 65 or Older,2012 Aged 65 or Older,2013 Aged 65 or Older,2014 Aged 65 or Older,2015 Aged 65 or Older,2016 Aged 65 or Older,2017 Aged 65 or Older,2018 Aged 65 or Older,2019 Aged 65 or Older,2020 Aged 65 or Older,2021 Aged 65 or Older,2022 Aged 65 or Older
01001,16.04,16.98,17.92,18.86,19.8,19.72,19.64,19.07,18.5,18.39,18.27,17.73,17.18
01003,63.17,63.08,62.99,62.9,62.81,63.59,64.37,64.33,64.28,64.62,64.96,66.25,67.55
01005,35.96,36.88,37.8,38.72,39.64,40.69,41.74,45.34,48.93,50.54,52.16,53.34,54.53
01007,20.94,22.4,23.85,25.31,26.77,26.31,25.85,28.93,32.0,29.12,26.23,26.02,25.8
01009,41.05,41.86,42.67,43.48,44.29,46.69,49.09,48.12,47.15,44.02,40.9,40.08,39.26
01011,27.88,27.83,27.77,27.72,27.67,27.5,27.32,26.52,25.72,24.86,24.0,24.2,24.4
01013,61.99,61.74,61.49,61.25,61.0,59.73,58.45,58.87,59.28,63.28,67.28,67.42,67.55
01015,37.07,37.17,37.27,37.37,37.47,36.61,35.75,36.2,36.64,36.97,37.3,36.26,35.22
01017,62.25,62.39,62.53,62.67,62.81,62.16,61.51,59.84,58.17,57.1,56.02,54.75,53.48
01019,72.94,73.63,74.33,75.02,75.71,76.5,77.3,78.92,80.55,81.08,81.6,80.97,80.34
01021,29.18,29.6,30.02,30.43,30.85,29.59,28.33,27.91,27.48,27.68,27.88,26.84,25.8
01023,74.79,75.7,76.6,77.5,78.41,79.16,79.91,81.2,82.49,82.59,82.69,81.77,80.85
01025,56.68,56.52,56.35,56.19,56.03,57.24,58.45,58.87,59.28,59.63,59.99,60.25,60.52
01027,70.36,69.84,69.32,68.81,68.29,69.2,70.11,68.45,66.79,65.49,64.19,64.39,64.59
01029,52.67,54.46,56.26,58.05,59.85,59.65,59.44,58.31,57.18,61.58,65.98,59.15,52.31
01031,38.09,37.67,37.24,36.81,36.39,35.51,34.64,33.32,32.0,31.58,31.16,29.77,28.38
01033,68.8,67.54,66.28,65.03,63.77,63.1,62.43,62.39,62.34,60.64,58.94,57.77,56.6
01035,72.5,72.93,73.35,73.78,74.21,75.75,77.3,78.67,80.04,80.33,80.62,80.95,81.29
01037,65.59,64.16,62.72,61.29,59.85,62.11,64.37,72.65,80.93,82.2,83.48,84.64,85.81
01039,75.97,76.09,76.2,76.32,76.44,76.6,76.76,74.62,72.49,71.84,71.2,71.28,71.36
01041,53.94,53.39,52.84,52.29,51.74,52.06,52.37,52.26,52.15,53.11,54.07,54.3,54.53
01043,54.29,54.38,54.48,54.57,54.66,54.95,55.24,52.09,48.93,47.14,45.35,45.03,44.7
01045,27.72,27.71,27.7,27.68,27.67,29.01,30.34,30.09,29.83,30.02,30.2,30.89,31.59
01047,33.8,33.64,33.48,33.33,33.17,33.31,33.46,35.05,36.64,38.77,40.9,45.69,50.49
01049,31.89,31.95,32.01,32.06,32.12,31.73,31.33,31.66,32.0,31.58,31.16,30.59,30.03
01051,15.49,15.76,16.02,16.29,16.56,17.7,18.85,18.36,17.86,18.83,19.8,19.2,18.61
01053,45.98,45.32,44.66,43.99,43.33,43.43,43.52,42.71,41.9,41.97,42.04,42.38,42.73
01055,53.15,52.53,51.91,51.3,50.68,50.93,51.19,51.67,52.15,51.62,51.08,50.79,50.49
01057,72.88,72.24,71.61,70.97,70.33,70.71,71.09,71.79,72.49,70.81,69.13,68.34,67.55
01059,46.49,45.42,44.35,43.29,42.22,39.53,36.84,33.91,30.98,29.05,27.12,27.75,28.38
01061,69.38,69.11,68.84,68.56,68.29,67.58,66.86,65.05,63.23,63.35,63.46,61.5,59.53
01063,56.07,55.72,55.36,55.01,54.66,56.1,57.53,64.58,71.63,74.94,78.26,80.57,82.88
01065,44.78,45.96,47.14,48.33,49.51,51.93,54.35,53.25,52.15,53.11,54.07,53.77,53.48
01067,70.49,71.8,73.1,74.41,75.71,77.57,79.43,79.73,80.04,79.72,79.41,79.02,78.62
01069,38.44,38.48,38.53,38.57,38.62,37.73,36.84,37.23,37.63,37.47,37.3,37.61,37.93
01071,59.96,59.93,59.91,59.88,59.85,61.14,62.43,61.19,59.95,60.53,61.11,61.83,62.55
01073,25.04,24.25,23.46,22.66,21.87,21.75,21.62,21.38,21.14,21.52,21.9,21.89,21.89
01075,78.07,77.3,76.53,75.75,74.98,75.87,76.76,76.71,76.66,75.44,74.22,74.11,74.01
