FIPS,2010 Below Poverty,2011 Below Poverty,2012 Below Poverty,2013 Below Poverty,2014 Below Poverty,2015 Below Poverty,2016 Below Poverty,2017 Below Poverty,2018 Below Poverty,2019 Below Poverty,2020 Below Poverty,2021 Below Poverty,2022 Below Poverty
01001,22.21,23.74,25.27,26.8,28.33,28.29,28.24,41.12,54.01,50.12,46.24,41.23,36.21
01003,33.7,34.1,34.51,34.91,35.31,34.24,33.17,27.78,22.39,20.04,17.7,22.04,26.38
01005,92.45,91.18,89.91,88.63,87.36,89.98,92.61,94.46,96.31,96.08,95.86,94.73,93.6
01007,37.14,41.77,46.39,51.02,55.65,55.51,55.36,49.83,44.3,56.25,68.2,71.67,75.15
01009,42.13,46.05,49.98,53.9,57.82,56.59,55.36,51.3,47.23,48.67,50.1,49.55,49.0
01011,92.9,88.58,84.25,79.93,75.61,84.48,93.35,95.56,97.77,97.36,96.94,97.88,98.82
01013,92.36,92.02,91.67,91.33,90.99,91.23,91.47,90.03,88.6,84.89,81.19,84.31,87.43
01015,77.49,78.02,78.54,79.07,79.59,76.53,73.48,73.35,73.22,70.11,67.0,70.56,74.13
01017,80.71,82.28,83.84,85.41,86.98,81.71,76.44,69.51,62.58,66.42,70.27,72.41,74.55
01019,68.71,70.85,72.99,75.13,77.27,65.97,54.66,52.96,51.27,56.08,60.88,61.25,61.63
01021,72.37,70.95,69.53,68.12,66.7,71.57,76.44,74.83,73.22,70.91,68.59,58.55,48.52
01023,73.74,75.03,76.31,77.6,78.89,79.14,79.4,82.53,85.67,80.89,76.1,79.64,83.17
01025,96.65,95.7,94.76,93.81,92.87,91.14,89.4,90.99,92.58,90.94,89.31,83.17,77.03
01027,74.44,72.38,70.31,68.25,66.19,61.41,56.64,64.5,72.36,71.52,70.69,73.11,75.53
01029,66.1,65.18,64.25,63.32,62.4,67.94,73.48,73.09,72.71,69.86,67.0,68.69,70.38
01031,66.58,66.61,66.64,66.67,66.7,60.68,54.66,53.48,52.29,53.95,55.6,60.03,64.46
01033,56.33,58.2,60.07,61.93,63.8,59.58,55.36,57.84,60.32,54.47,48.63,49.38,50.14
01035,97.42,97.55,97.69,97.83,97.96,97.78,97.61,91.64,85.67,87.23,88.8,91.66,94.53
01037,58.52,62.22,65.92,69.62,73.32,60.44,47.56,45.93,44.3,48.14,51.97,48.89,45.82
01039,74.95,74.66,74.36,74.06,73.77,72.09,70.42,71.1,71.78,70.88,69.99,74.19,78.4
01041,68.77,65.86,62.95,60.03,57.12,61.58,66.03,61.02,56.02,61.0,65.98,69.57,73.15
01043,63.39,62.96,62.53,62.1,61.67,60.46,59.25,58.0,56.75,48.88,41.02,46.11,51.19
01045,50.79,54.64,58.49,62.34,66.19,71.6,77.01,74.69,72.36,74.94,77.53,77.12,76.71
01047,97.89,98.11,98.32,98.54,98.76,98.55,98.34,97.97,97.61,96.97,96.34,96.39,96.44
01049,79.82,78.31,76.8,75.28,73.77,74.04,74.31,79.86,85.41,87.55,89.69,88.33,86.96
01051,35.2,33.7,32.19,30.69,29.19,35.07,40.94,37.02,33.09,27.86,22.63,25.53,28.44
01053,91.56,91.48,91.4,91.32,91.24,90.86,90.48,90.16,89.84,91.25,92.65,93.47,94.3
