FIPS,2010 Crowding,2011 Crowding,2012 Crowding,2013 Crowding,2014 Crowding,2015 Crowding,2016 Crowding,2017 Crowding,2018 Crowding,2019 Crowding,2020 Crowding,2021 Crowding,2022 Crowding
01001,34.59,43.47,52.35,61.23,70.11,47.44,24.77,27.21,29.64,34.94,40.23,36.1,31.98
01003,58.72,51.79,44.85,37.92,30.98,28.69,26.39,26.21,26.04,31.02,36.0,43.44,50.87
01005,56.49,55.66,54.83,54.0,53.17,48.77,44.38,63.18,81.98,83.73,85.49,85.68,85.87
01007,29.91,22.97,16.04,9.1,2.16,2.32,2.48,6.15,9.81,18.7,27.59,27.62,27.65
01009,76.25,67.6,58.96,50.31,41.67,46.12,50.56,43.8,37.03,42.23,47.42,55.51,63.6
01011,56.77,62.83,68.9,74.97,81.03,41.36,1.69,0.84,0.0,8.4,16.8,14.37,11.93
01013,76.98,63.13,49.29,35.44,21.59,31.44,41.29,42.93,44.57,32.27,19.96,13.59,7.22
01015,41.66,37.91,34.16,30.4,26.65,31.86,37.06,38.81,40.56,32.16,23.77,33.44,43.11
01017,42.93,53.48,64.03,74.58,85.13,86.62,88.12,82.17,76.22,86.55,96.88,95.29,93.7
01019,57.06,58.43,59.8,61.16,62.53,48.31,34.1,33.85,33.59,32.71,31.83,20.66,9.48
01021,66.0,70.51,75.03,79.54,84.05,79.96,75.87,73.26,70.65,71.51,72.37,71.28,70.19
01023,64.92,57.09,49.25,41.42,33.59,31.09,28.59,29.12,29.64,23.22,16.8,12.01,7.22
01025,80.49,70.61,60.73,50.85,40.97,39.0,37.03,40.8,44.57,47.45,50.32,41.15,31.98
01027,85.0,82.1,79.21,76.31,73.42,44.46,15.5,13.87,12.23,16.1,19.96,38.77,57.59
01029,82.49,83.63,84.78,85.93,87.07,65.22,43.36,27.8,12.23,22.03,31.83,51.01,70.19
01031,30.61,27.9,25.19,22.48,19.77,25.34,30.91,30.27,29.64,44.61,59.58,56.87,54.15
01033,30.45,30.04,29.63,29.22,28.81,18.31,7.8,5.51,3.22,4.37,5.51,18.75,31.98
01035,11.29,22.26,33.23,44.2,55.17,55.65,56.13,37.51,18.88,11.38,3.88,6.68,9.48
01037,76.44,68.71,60.98,53.26,45.53,42.57,39.61,25.92,12.23,44.71,77.18,81.02,84.86
01039,47.77,51.66,55.55,59.43,63.32,50.65,37.98,46.48,54.98,55.77,56.56,47.95,39.33
01041,78.86,65.0,51.13,37.27,23.4,16.37,9.33,10.78,12.23,16.1,19.96,20.11,20.27
01043,40.0,43.12,46.24,49.35,52.47,48.98,45.5,45.04,44.57,47.45,50.32,50.59,50.87
01045,18.45,22.27,26.09,29.9,33.72,33.19,32.66,36.61,40.56,27.32,14.07,11.77,9.48
01047,91.59,92.71,93.84,94.96,96.08,93.33,90.58,84.31,78.03,50.9,23.77,27.88,31.98
01049,93.31,91.13,88.95,86.77,84.59,80.37,76.15,75.24,74.34,75.76,77.18,79.7,82.21
01051,70.08,55.81,41.53,27.26,12.99,17.19,21.39,25.52,29.64,28.62,27.59,27.62,27.65
01053,30.17,31.29,32.41,33.52,34.64,48.19,61.73,56.77,51.8,39.7,27.59,16.58,5.57
01055,39.78,41.74,43.7,45.67,47.63,44.06,40.5,31.26,22.03,22.9,23.77,33.44,43.11
01057,10.31,9.95,9.6,9.24,8.88,20.05,31.23,25.05,18.88,13.81,8.75,14.51,20.27
01059,75.74,79.44,83.14,86.84,90.54,89.76,88.98,84.94,80.9,78.22,75.53,57.43,39.33
01061,10.5,25.03,39.55,54.08,68.61,56.4,44.19,46.18,48.17,37.88,27.59,33.46,39.33
01063,89.33,88.61,87.88,87.16,86.44,83.73,81.03,79.53,78.03,65.73,53.44,28.29,3.15
01065,53.94,52.27,50.59,48.92,47.25,62.09,76.92,78.22,79.53,81.77,84.02,77.11,70.19
01067,40.26,32.96,25.66,18.35,11.05,11.7,12.35,11.08,9.81,9.28,8.75,14.51,20.27
01069,35.55,32.77,29.98,27.2,24.42,24.52,24.61,23.32,22.03,26.93,31.83,29.74,27.65
01071,52.99,50.1,47.21,44.31,41.42,47.99,54.57,56.29,58.01,62.72,67.44,64.13,60.83
01073,39.87,38.16,36.46,34.76,33.05,31.66,30.28,31.94,33.59,32.71,31.83,29.74,27.65
01075,33.51,40.96,48.4,55.84,63.29,39.86,16.43,28.5,40.56,45.44,50.32,33.78,17.24
01077,17.82,15.87,13.92,11.98,10.03,17.11,24.2,23.11,22.03,19.41,16.8,15.79,14.79
01079,23.52,21.5,19.48,17.46,15.44,25.79,36.13,34.86,33.59,26.77,19.96,18.6,17.24
01081,42.23,43.18,44.14,45.09,46.04,49.4,52.75,65.39,78.03,81.02,84.02,72.42,60.83
01083,66.67,62.94,59.22,55.5,51.77,52.8,53.84,49.2,44.57,47.45,50.32,46.71,43.11
01085,91.15,88.02,84.88,81.75,78.61,48.72,18.82,29.69,40.56,40.4,40.23,41.67,43.11
01087,60.85,60.03,59.2,58.38,57.56,47.96,38.36,32.2,26.04,26.82,27.59,29.78,31.98
01089,31.31,32.17,33.04,33.91,34.77,30.19,25.6,25.82,26.04,26.82,27.59,27.62,27.65
01091,46.94,42.86,38.79,34.71,30.63,27.59,24.55,16.18,7.8,4.9,2.01,2.58,3.15
01093,54.8,49.86,44.91,39.97,35.02,30.45,25.88,41.95,58.01,58.79,59.58,65.61,71.65
01095,82.17,82.46,82.75,83.03,83.32,81.95,80.58,74.61,68.64,59.48,50.32,44.82,39.33
01097,65.24,62.94,60.63,58.33,56.03,53.82,51.61,51.7,51.8,49.61,47.42,49.15,50.87
01099,9.26,10.55,11.84,13.13,14.42,11.04,7.67,6.67,5.67,4.78,3.88,27.38,50.87
01101,58.11,54.45,50.8,47.14,43.49,45.92,48.36,46.47,44.57,49.0,53.44,59.84,66.24
01103,60.53,62.34,64.16,65.97,67.78,61.27,54.76,58.95,63.13,58.28,53.44,60.97,68.5
01105,88.95,91.16,93.38,95.59,97.8,93.41,89.02,78.83,68.64,34.32,0.0,2.02,4.04
01107,36.37,42.67,48.97,55.27,61.57,51.66,41.74,31.88,22.03,19.41,16.8,17.02,17.24
01109,71.19,61.54,51.9,42.25,32.6,41.37,50.14,43.58,37.03,22.89,8.75,11.77,14.79
01111,73.93,77.88,81.82,85.77,89.72,88.77,87.81,81.08,74.34,70.89,67.44,45.68,23.93
01113,63.27,63.02,62.77,62.52,62.27,68.56,74.85,76.44,78.03,59.13,40.23,28.73,17.24
01115,46.97,46.35,45.73,45.1,44.48,28.82,13.15,12.69,12.23,26.23,40.23,41.67,43.11
