FIPS,2010 Group Quarters,2011 Group Quarters,2012 Group Quarters,2013 Group Quarters,2014 Group Quarters,2015 Group Quarters,2016 Group Quarters,2017 Group Quarters,2018 Group Quarters,2019 Group Quarters,2020 Group Quarters,2021 Group Quarters,2022 Group Quarters
01001,12.66,11.65,10.64,9.64,8.63,10.57,12.51,13.88,15.25,15.47,15.69,13.3,10.91
01003,30.26,29.86,29.45,29.05,28.65,31.51,34.38,32.28,30.18,30.87,31.57,32.28,32.99
01005,95.19,94.93,94.66,94.4,94.14,94.21,94.27,94.38,94.49,94.81,95.13,95.32,95.51
01007,93.06,91.75,90.44,89.12,87.81,89.68,91.56,91.85,92.14,90.44,88.73,87.68,86.64
01009,13.36,13.54,13.71,13.89,14.07,14.61,15.15,13.4,11.65,13.67,15.69,14.86,14.03
01011,97.45,93.73,90.02,86.3,82.59,79.82,77.05,76.97,76.89,77.28,77.66,83.12,88.58
01013,42.83,38.76,34.69,30.62,26.55,30.79,35.02,36.47,37.92,38.32,38.73,40.97,43.21
01015,61.13,60.26,59.39,58.53,57.66,59.46,61.25,61.88,62.5,61.95,61.39,65.2,69.01
01017,33.86,31.94,30.02,28.09,26.17,29.34,32.51,33.54,34.57,38.28,41.98,42.59,43.21
01019,23.74,26.57,29.39,32.22,35.05,31.41,27.76,23.13,18.5,18.81,19.13,20.16,21.19
01021,15.34,14.03,12.72,11.4,10.09,11.21,12.32,11.99,11.65,13.67,15.69,14.86,14.03
01023,16.58,19.7,22.81,25.92,29.04,29.39,29.74,29.96,30.18,28.52,26.86,26.03,25.2
01025,22.18,21.88,21.58,21.28,20.98,26.06,31.14,32.86,34.57,34.87,35.17,35.96,36.75
01027,49.74,50.08,50.42,50.76,51.1,50.45,49.79,48.54,47.28,45.95,44.62,43.91,43.21
01029,26.89,24.68,22.47,20.26,18.05,18.86,19.68,19.09,18.5,20.74,22.98,20.48,17.98
01031,27.56,26.28,25.0,23.73,22.45,22.93,23.4,22.62,21.84,20.48,19.13,22.17,25.2
01033,14.22,13.5,12.78,12.05,11.33,10.57,9.81,9.59,9.36,9.56,9.77,10.34,10.91
01035,3.85,3.67,3.48,3.3,3.12,3.28,3.44,3.43,3.41,3.52,3.63,3.75,3.88
01037,21.67,31.62,41.58,51.53,61.48,65.25,69.02,70.82,72.62,73.1,73.58,72.68,71.78
01039,40.7,39.5,38.3,37.11,35.91,38.07,40.24,42.36,44.48,46.14,47.8,47.0,46.2
01041,17.25,17.77,18.29,18.81,19.33,19.0,18.66,20.25,21.84,26.71,31.57,38.89,46.2
01043,32.27,31.69,31.11,30.54,29.96,31.52,33.08,33.83,34.57,34.87,35.17,32.3,29.43
01045,49.39,51.93,54.47,57.0,59.54,59.35,59.15,59.87,60.59,63.22,65.85,54.53,43.21
01047,48.28,43.29,38.3,33.32,28.33,31.39,34.45,34.51,34.57,34.87,35.17,34.08,32.99
01049,22.94,22.7,22.45,22.21,21.97,24.36,26.74,26.28,25.82,28.69,31.57,32.28,32.99
01051,87.65,87.44,87.22,87.0,86.79,85.36,83.92,83.27,82.62,83.13,83.64,82.56,81.48
01053,91.02,90.14,89.27,88.39,87.52,87.09,86.66,87.84,89.02,89.84,90.67,89.44,88.2
01055,53.27,48.27,43.27,38.27,33.27,31.6,29.93,27.88,25.82,26.34,26.86,29.93,32.99
01057,45.51,46.17,46.84,47.51,48.17,48.79,49.41,49.68,49.95,48.88,47.8,48.48,49.16
01059,13.84,14.18,14.52,14.85,15.19,14.27,13.34,11.35,9.36,8.67,7.99,9.45,10.91
01061,13.36,12.87,12.38,11.89,11.4,12.93,14.45,13.05,11.65,12.12,12.6,13.31,14.03
01063,5.79,5.58,5.36,5.14,4.93,6.16,7.39,7.34,7.29,17.08,26.86,33.45,40.03
01065,55.66,53.87,52.09,50.3,48.52,43.62,38.71,32.27,25.82,26.34,26.86,29.93,32.99
01067,25.17,24.28,23.39,22.51,21.62,29.88,38.14,41.31,44.48,46.14,47.8,43.91,40.03
01069,35.42,30.15,24.89,19.62,14.36,14.07,13.79,12.72,11.65,13.67,15.69,16.84,17.98
01071,23.74,22.86,21.98,21.1,20.22,23.09,25.95,25.89,25.82,24.4,22.98,24.09,25.2
01073,60.5,59.81,59.13,58.44,57.75,58.26,58.77,58.23,57.69,57.87,58.05,60.97,63.89
01075,39.59,40.25,40.92,41.59,42.25,37.3,32.35,29.09,25.82,28.69,31.57,26.38,21.19
01077,53.94,53.9,53.85,53.81,53.77,55.17,56.57,57.13,57.69,56.98,56.27,59.11,61.95
01079,8.75,8.06,7.37,6.68,5.99,6.71,7.42,7.36,7.29,8.53,9.77,9.26,8.75
01081,69.89,70.8,71.71,72.63,73.54,73.67,73.8,73.58,73.35,73.1,72.85,74.88,76.9
01083,73.01,74.38,75.74,77.11,78.48,74.26,70.04,69.11,68.19,68.12,68.05,66.56,65.07
01085,13.36,12.47,11.59,10.7,9.81,10.73,11.65,11.65,11.65,15.39,19.13,24.28,29.43
01087,90.8,91.58,92.36,93.14,93.92,94.37,94.81,95.05,95.29,95.3,95.32,95.86,96.4
01089,60.5,59.47,58.44,57.41,56.38,57.67,58.96,59.2,59.44,58.75,58.05,60.97,63.89
01091,27.88,25.33,22.78,20.22,17.67,19.26,20.85,21.34,21.84,22.41,22.98,26.21,29.43
01093,66.51,65.57,64.63,63.69,62.75,56.38,50.02,45.64,41.26,42.94,44.62,49.28,53.93
01095,24.37,23.08,21.79,20.49,19.2,19.65,20.09,19.3,18.5,18.81,19.13,22.17,25.2
01097,44.52,47.95,51.38,54.8,58.23,59.41,60.59,57.34,54.09,49.36,44.62,45.41,46.2
01099,18.84,17.86,16.89,15.91,14.93,17.16,19.39,20.61,21.84,22.41,22.98,24.09,25.2
01101,76.57,74.94,73.3,71.67,70.04,68.94,67.84,67.35,66.86,67.45,68.05,69.91,71.78
01103,48.28,44.8,41.32,37.83,34.35,36.85,39.35,38.63,37.92,38.32,38.73,39.38,40.03
01105,87.36,87.62,87.89,88.15,88.41,89.22,90.04,90.46,90.89,91.26,91.63,93.11,94.59
01107,45.51,46.0,46.49,46.98,47.47,64.27,81.06,85.04,89.02,90.17,91.31,91.78,92.24
01109,84.85,84.78,84.71,84.63,84.56,84.15,83.73,83.72,83.7,83.22,82.75,85.76,88.77
01111,47.93,49.06,50.19,51.31,52.44,52.9,53.36,53.73,54.09,54.37,54.65,57.65,60.64
01113,22.18,21.32,20.45,19.59,18.72,18.45,18.18,16.71,15.25,15.47,15.69,14.86,14.03
01115,60.05,58.98,57.9,56.83,55.75,57.31,58.87,59.16,59.44,59.59,59.74,56.84,53.93
01117,32.9,31.66,30.43,29.19,27.95,30.42,32.89,31.54,30.18,30.87,31.57,34.16,36.75
01119,82.27,81.85,81.42,81.0,80.58,83.32,86.06,86.55,87.04,86.55,86.06,90.36,94.65
01121,75.87,75.7,75.53,75.37,75.2,75.79,76.38,76.64,76.89,77.51,78.13,78.94,79.76
01123,35.13,34.92,34.71,34.5,34.29,35.21,36.13,35.35,34.57,36.65,38.73,42.46,46.2
01125,82.62,82.21,81.8,81.4,80.99,81.28,81.57,81.31,81.06,80.61,80.17,82.19,84.22
01127,31.22,31.42,31.62,31.83,32.03,31.33,30.63,30.41,30.18,32.67,35.17,35.96,36.75
01129,13.08,12.6,12.11,11.62,11.14,11.76,12.38,12.02,11.65,10.71,9.77,10.34,10.91
01131,16.58,26.11,35.64,45.17,54.7,56.1,57.5,57.59,57.69,56.17,54.65,51.91,49.16
01133,28.64,31.52,34.39,37.27,40.15,38.75,37.34,37.63,37.92,38.32,38.73,39.38,40.03
02013,100.0,100.0,100.0,100.0,100.0,99.97,99.94,99.84,99.75,99.64,99.52,99.71,99.9
02016,99.93,99.82,99.71,99.6,99.49,99.41,99.33,99.12,98.92,98.79,98.66,99.11,99.55
02020,67.31,66.6,65.89,65.18,64.47,64.3,64.12,61.78,59.44,59.59,59.74,60.19,60.64
02050,53.11,52.52,51.93,51.34,50.75,61.18,71.6,75.66,79.72,81.68,83.64,84.58,85.52
02060,43.25,34.09,24.92,15.76,6.59,43.98,81.38,85.93,90.48,93.03,95.58,96.39,97.2
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.22,72.38,72.54
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77,10.34,10.91
02068,52.48,63.98,75.49,87.0,98.5,98.71,98.92,99.31,99.71,99.73,99.75,99.84,99.94
02070,21.67,31.77,41.88,51.98,62.08,72.21,82.33,85.03,87.74,89.09,90.45,90.94,91.44
02090,78.73,77.84,76.95,76.06,75.17,76.16,77.14,77.27,77.4,77.53,77.66,77.28,76.9
02100,0.0,13.98,27.97,41.95,55.94,56.75,57.56,53.75,49.95,44.34,38.73,51.31,63.89
02105,0.0,19.0,38.0,56.99,75.99,81.39,86.79,87.5,88.22,87.94,87.65,87.59,87.53
02110,66.7,64.14,61.58,59.01,56.45,56.37,56.29,53.12,49.95,45.97,41.98,44.09,46.2
02122,69.54,69.52,69.5,69.49,69.47,69.39,69.31,67.47,65.62,63.51,61.39,61.67,61.95
02130,49.74,51.77,53.8,55.82,57.85,55.78,53.71,53.08,52.44,51.23,50.03,49.59,49.16
02150,61.42,62.35,63.28,64.21,65.14,61.71,58.29,57.99,57.69,59.54,61.39,65.2,69.01
02158,0.0,0.0,0.0,0.0,0.0,0.0,47.63,58.88,70.14,72.99,75.84,75.72,75.6
02164,58.49,53.52,48.54,43.56,38.59,61.15,83.7,86.36,89.02,91.0,92.97,94.72,96.47
02170,41.27,41.76,42.25,42.74,43.23,46.08,48.93,48.1,47.28,45.95,44.62,49.28,53.93
02180,59.13,61.17,63.2,65.23,67.27,70.75,74.24,78.43,82.62,84.42,86.22,87.02,87.81
02185,99.52,99.53,99.53,99.54,99.55,99.59,99.62,99.59,99.55,99.57,99.59,99.72,99.84
02188,81.85,77.64,73.43,69.22,65.01,66.83,68.64,73.52,78.41,81.56,84.72,86.12,87.53
02195,24.37,38.63,52.89,67.15,81.41,79.41,77.4,67.55,57.69,56.98,56.27,65.61,74.96
02198,15.34,20.66,25.99,31.32,36.64,38.36,40.08,39.0,37.92,39.95,41.98,46.71,51.45
