FIPS,2010 Limited English Ability,2011 Limited English Ability,2012 Limited English Ability,2013 Limited English Ability,2014 Limited English Ability,2015 Limited English Ability,2016 Limited English Ability,2017 Limited English Ability,2018 Limited English Ability,2019 Limited English Ability,2020 Limited English Ability,2021 Limited English Ability,2022 Limited English Ability
01001,34.56,35.23,35.89,36.55,37.22,45.38,53.55,52.34,51.13,49.24,47.36,39.43,31.5
01003,66.83,67.07,67.3,67.54,67.78,60.3,52.82,44.32,35.82,43.66,51.5,51.65,51.8
01005,71.54,72.95,74.37,75.78,77.2,73.5,69.79,70.16,70.52,72.56,74.6,76.16,77.73
01007,50.09,47.47,44.85,42.23,39.61,37.57,35.53,29.12,22.7,26.93,31.16,27.95,24.75
01009,83.13,80.59,78.05,75.51,72.97,73.89,74.82,73.26,71.7,70.78,69.86,74.8,79.73
01011,47.23,55.53,63.82,72.12,80.42,69.06,57.69,43.69,29.7,50.54,71.39,73.36,75.34
01013,9.64,15.77,21.9,28.03,34.16,44.43,54.7,45.26,35.82,29.99,24.16,16.36,8.56
01015,62.53,60.12,57.72,55.32,52.91,50.73,48.55,53.23,57.91,52.63,47.36,42.53,37.7
01017,33.7,29.92,26.13,22.34,18.56,24.26,29.96,18.51,7.07,19.11,31.16,27.95,24.75
01019,13.59,12.68,11.76,10.84,9.93,8.82,7.7,18.7,29.7,45.37,61.04,58.2,55.36
01021,78.13,79.21,80.3,81.38,82.46,81.52,80.58,77.75,74.91,73.84,72.76,75.7,78.65
01023,10.28,8.98,7.69,6.39,5.09,2.54,0.0,14.85,29.7,22.87,16.04,20.39,24.75
01025,5.79,8.21,10.63,13.05,15.47,18.13,20.79,13.93,7.07,7.83,8.59,8.57,8.56
01027,75.2,70.13,65.06,59.99,54.92,47.42,39.92,34.81,29.7,19.14,8.59,4.29,0.0
01029,57.92,46.32,34.72,23.12,11.52,32.14,52.75,49.59,46.42,44.7,42.97,37.23,31.5
01031,72.18,73.66,75.14,76.62,78.1,73.7,69.31,68.25,67.18,64.11,61.04,67.37,73.69
01033,50.7,45.76,40.83,35.89,30.95,24.58,18.21,20.46,22.7,35.03,47.36,51.36,55.36
