FIPS,2010 Minority Status,2011 Minority Status,2012 Minority Status,2013 Minority Status,2014 Minority Status,2015 Minority Status,2016 Minority Status,2017 Minority Status,2018 Minority Status,2019 Minority Status,2020 Minority Status,2021 Minority Status,2022 Minority Status
01001,63.2,63.23,63.26,63.29,63.32,63.36,63.39,63.38,63.36,63.37,63.37,63.45,63.54
01003,54.39,54.13,53.88,53.62,53.36,52.95,52.53,52.06,51.58,50.9,50.22,49.56,48.9
01005,90.92,90.91,90.89,90.88,90.86,90.64,90.42,90.03,89.65,89.63,89.62,89.52,89.41
01007,65.91,65.72,65.54,65.35,65.17,64.83,64.5,64.2,63.9,63.41,62.92,62.39,61.85
01009,42.42,42.43,42.45,42.46,42.47,42.43,42.38,42.22,42.06,41.76,41.47,41.38,41.3
01011,98.18,98.18,98.19,98.19,98.19,98.15,98.12,98.11,98.09,98.09,98.09,98.09,98.09
01013,87.01,86.91,86.82,86.72,86.63,86.72,86.82,86.97,87.11,86.98,86.86,86.74,86.61
01015,67.69,67.53,67.37,67.21,67.05,66.9,66.76,66.46,66.16,65.99,65.82,65.81,65.8
01017,84.02,83.92,83.83,83.73,83.64,83.83,84.02,84.19,84.37,84.29,84.21,84.08,83.96
01019,33.64,33.18,32.73,32.27,31.81,30.93,30.05,29.24,28.43,28.11,27.78,27.03,26.28
01021,57.47,57.34,57.21,57.09,56.96,56.67,56.38,56.28,56.19,55.69,55.19,54.72,54.25
01023,85.9,85.74,85.58,85.42,85.26,84.91,84.56,84.06,83.57,83.06,82.56,82.03,81.51
01025,87.17,87.08,86.98,86.89,86.79,86.66,86.53,86.48,86.44,86.38,86.31,86.36,86.41
01027,59.1,58.74,58.38,58.02,57.66,57.27,56.89,56.41,55.94,55.09,54.23,53.46,52.69
01029,29.05,28.87,28.69,28.51,28.33,27.49,26.65,25.91,25.18,23.6,22.02,20.94,19.85
01031,69.19,69.06,68.93,68.8,68.67,68.72,68.77,68.8,68.83,68.73,68.62,68.34,68.06
01033,60.05,59.83,59.6,59.38,59.15,58.98,58.8,58.48,58.17,57.94,57.7,57.07,56.44
01035,88.6,88.51,88.42,88.34,88.25,88.16,88.06,87.97,87.87,87.72,87.56,87.41,87.27
01037,76.32,76.35,76.38,76.41,76.44,75.94,75.45,74.8,74.15,74.11,74.06,73.64,73.21
01039,53.34,53.15,52.96,52.78,52.59,52.32,52.05,51.44,50.84,50.32,49.81,49.1,48.39
01041,69.57,69.62,69.68,69.73,69.79,69.47,69.15,68.66,68.16,67.79,67.41,66.98,66.56
01043,30.74,30.54,30.34,30.13,29.93,28.9,27.86,27.51,27.16,27.34,27.53,26.7,25.87
01045,70.56,70.5,70.45,70.39,70.33,70.08,69.82,70.0,70.17,70.22,70.27,70.15,70.03
01047,97.29,97.29,97.29,97.29,97.29,97.26,97.23,97.2,97.17,97.13,97.1,97.04,96.98
01049,57.03,56.89,56.76,56.62,56.48,56.15,55.81,55.58,55.36,54.88,54.39,54.32,54.25
01051,66.0,66.05,66.09,66.14,66.19,65.89,65.58,65.47,65.36,64.97,64.58,64.16,63.73
01053,80.84,80.75,80.66,80.57,80.48,80.33,80.17,80.05,79.94,79.64,79.34,78.74,78.14
01055,60.59,60.36,60.13,59.89,59.66,59.52,59.38,59.19,58.99,58.65,58.31,57.85,57.4
01057,49.29,49.08,48.88,48.67,48.46,48.22,47.98,47.91,47.85,47.71,47.58,46.57,45.56
01059,60.02,59.88,59.73,59.59,59.44,59.6,59.76,60.13,60.49,60.55,60.6,60.53,60.45
01061,52.16,51.99,51.82,51.65,51.48,51.13,50.78,50.37,49.95,49.72,49.49,50.55,51.61
01063,98.72,98.7,98.69,98.67,98.66,98.65,98.63,98.63,98.63,98.56,98.5,98.53,98.57
01065,94.2,94.08,93.95,93.83,93.7,93.51,93.31,93.2,93.09,93.22,93.35,92.97,92.59
01067,74.02,73.71,73.4,73.09,72.78,72.12,71.47,70.86,70.26,69.71,69.16,68.21,67.26
01069,73.04,73.02,73.01,72.99,72.97,72.78,72.59,72.51,72.43,72.6,72.76,72.64,72.51
01071,39.59,39.32,39.05,38.79,38.52,38.17,37.82,37.09,36.36,35.62,34.88,33.84,32.8
01073,88.41,88.35,88.28,88.22,88.16,88.14,88.12,88.0,87.87,87.87,87.87,87.77,87.66
01075,49.07,48.71,48.35,47.99,47.63,46.84,46.04,45.41,44.79,43.99,43.19,42.24,41.3
01077,50.76,50.48,50.2,49.91,49.63,49.23,48.84,48.22,47.6,47.69,47.77,47.06,46.36
01079,63.62,63.44,63.26,63.09,62.91,62.48,62.05,61.8,61.54,60.94,60.34,59.51,58.67
01081,71.8,71.92,72.05,72.17,72.3,72.23,72.17,72.02,71.86,71.69,71.51,70.94,70.38
01083,61.23,61.17,61.11,61.06,61.0,60.92,60.84,60.89,60.94,61.11,61.27,61.21,61.15
01085,97.86,97.86,97.87,97.87,97.87,97.9,97.93,97.85,97.77,97.67,97.58,97.56,97.55
01087,98.94,98.93,98.91,98.9,98.89,98.86,98.82,98.75,98.69,98.67,98.66,98.66,98.66
01089,75.9,75.78,75.66,75.54,75.42,75.12,74.82,74.77,74.72,74.59,74.47,74.35,74.23
01091,91.5,91.37,91.23,91.09,90.96,90.83,90.7,90.46,90.23,90.05,89.88,89.7,89.53
01093,31.22,31.15,31.08,31.02,30.95,30.26,29.58,28.64,27.7,27.74,27.78,26.82,25.87
01095,53.59,53.59,53.59,53.58,53.58,53.65,53.71,54.23,54.76,54.41,54.07,54.16,54.25
01097,82.97,82.94,82.91,82.87,82.84,82.86,82.87,82.78,82.68,82.6,82.53,82.33,82.12
01099,86.47,86.38,86.28,86.19,86.09,85.9,85.71,85.53,85.35,85.26,85.17,84.95,84.73
01101,94.65,94.66,94.66,94.67,94.68,94.75,94.81,94.97,95.13,95.2,95.26,95.34,95.42
01103,63.01,62.83,62.65,62.48,62.3,62.29,62.27,62.25,62.24,61.99,61.74,61.77,61.79
01105,97.19,97.14,97.08,97.03,96.98,96.96,96.94,96.88,96.82,96.67,96.53,96.53,96.53
01107,85.74,85.64,85.55,85.45,85.35,85.39,85.42,85.56,85.71,85.64,85.58,85.2,84.82
01109,84.5,84.39,84.28,84.16,84.05,84.13,84.21,84.05,83.89,83.55,83.2,82.99,82.79
01111,65.53,65.27,65.02,64.76,64.5,64.11,63.71,63.38,63.04,62.51,61.97,61.62,61.28
01113,88.25,88.3,88.34,88.39,88.44,88.65,88.86,89.09,89.33,89.53,89.72,89.74,89.76
01115,46.72,46.61,46.5,46.4,46.29,45.92,45.56,45.17,44.79,44.45,44.11,43.95,43.78
01117,59.22,59.19,59.16,59.12,59.09,58.92,58.74,58.87,58.99,58.9,58.82,59.04,59.27
01119,97.93,97.93,97.93,97.93,97.93,97.9,97.87,97.79,97.71,97.6,97.49,97.43,97.36
01121,78.03,77.94,77.86,77.77,77.68,77.49,77.3,77.28,77.27,77.05,76.83,76.31,75.79
01123,72.34,72.16,71.97,71.78,71.6,71.17,70.74,70.5,70.26,70.06,69.86,69.16,68.47
01125,77.53,77.61,77.69,77.76,77.84,77.94,78.03,78.08,78.13,78.19,78.26,77.93,77.6
01127,38.6,38.48,38.37,38.26,38.14,37.85,37.57,37.3,37.03,37.04,37.05,36.77,36.49
01129,77.37,77.02,76.67,76.31,75.96,75.67,75.39,74.91,74.43,73.87,73.3,72.65,72.0
01131,97.8,97.74,97.69,97.64,97.58,97.5,97.42,97.35,97.29,97.26,97.23,97.04,96.85
01133,21.35,21.17,20.99,20.81,20.63,20.14,19.64,19.34,19.04,18.41,17.79,18.54,19.28
02013,99.23,99.22,99.22,99.21,99.2,99.08,98.95,98.92,98.89,98.94,98.98,98.84,98.7
02016,96.75,96.86,96.97,97.09,97.2,97.44,97.68,97.74,97.8,97.88,97.96,97.91,97.87
02020,79.72,79.86,79.99,80.12,80.26,80.67,81.09,81.27,81.44,81.84,82.24,82.58,82.91
02050,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.48,99.46,99.48,99.49,99.49,99.49
02060,90.38,89.49,88.6,87.71,86.82,86.71,86.6,86.14,85.67,87.04,88.42,89.01,89.6
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.32,65.06,65.8
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.08,83.89,85.71
02068,43.73,45.49,47.26,49.02,50.78,49.3,47.82,51.37,54.92,54.28,53.63,57.04,60.45
02070,98.66,98.67,98.67,98.68,98.69,98.69,98.69,98.67,98.66,98.74,98.82,98.89,98.95
02090,67.05,67.28,67.51,67.74,67.97,68.32,68.67,68.81,68.96,69.41,69.86,69.67,69.49
02100,56.23,56.49,56.75,57.01,57.27,59.45,61.64,60.49,59.34,62.39,65.44,64.38,63.32
02105,91.18,90.62,90.06,89.51,88.95,89.0,89.05,90.14,91.24,90.33,89.43,88.35,87.27
02110,74.44,74.45,74.47,74.48,74.5,74.5,74.5,74.56,74.63,75.03,75.43,75.8,76.17
02122,55.47,55.35,55.24,55.12,55.01,55.12,55.24,55.36,55.49,55.73,55.98,55.9,55.81
02130,75.77,75.8,75.82,75.85,75.87,75.93,75.99,75.85,75.71,75.73,75.75,75.91,76.07
02150,87.93,87.91,87.9,87.89,87.87,87.94,88.0,88.08,88.16,88.37,88.57,88.67,88.77
02158,0.0,0.0,0.0,0.0,0.0,0.0,99.9,99.9,99.9,99.9,99.9,99.92,99.94
02164,98.15,98.2,98.25,98.29,98.34,98.32,98.31,98.17,98.03,97.9,97.77,98.17,98.57
02170,55.56,55.64,55.72,55.79,55.87,56.27,56.67,56.81,56.96,57.06,57.16,57.56,57.97
02180,98.85,98.84,98.84,98.83,98.82,98.84,98.85,98.91,98.98,98.94,98.89,98.94,98.98
02185,96.65,96.58,96.51,96.44,96.37,96.37,96.37,96.34,96.31,96.61,96.91,96.21,95.51
02188,99.42,99.43,99.44,99.45,99.46,99.45,99.43,99.41,99.4,99.36,99.33,99.38,99.43
02195,72.15,71.55,70.95,70.35,69.75,71.44,73.13,75.12,77.11,78.0,78.9,81.21,83.52
02198,89.3,89.67,90.03,90.4,90.77,90.81,90.86,90.42,89.97,89.88,89.78,89.89,90.01
02220,78.83,78.71,78.59,78.47,78.35,78.66,78.96,78.59,78.22,77.92,77.63,78.03,78.43
02230,39.49,45.23,50.96,56.69,62.43,62.48,62.53,56.48,50.43,55.29,60.15,59.22,58.29
02240,61.1,61.2,61.3,61.41,61.51,62.62,63.74,63.98,64.22,64.51,64.8,64.64,64.49
02275,69.85,69.73,69.61,69.49,69.37,71.55,73.73,73.46,73.19,73.94,74.7,78.6,82.5
02282,93.69,93.93,94.17,94.41,94.65,93.19,91.72,91.69,91.66,93.6,95.54,95.66,95.77
02290,98.21,98.21,98.22,98.22,98.22,98.22,98.22,98.17,98.12,98.11,98.09,98.05,98.0
04001,98.4,98.41,98.42,98.43,98.44,98.49,98.54,98.52,98.5,98.44,98.38,98.39,98.41
04003,83.7,83.77,83.84,83.92,83.99,84.24,84.5,84.61,84.72,84.7,84.69,84.71,84.73
04005,86.15,86.14,86.14,86.13,86.12,85.96,85.8,85.67,85.55,85.52,85.49,85.41,85.33
04007,76.41,76.67,76.92,77.17,77.43,77.59,77.75,77.72,77.68,77.43,77.18,76.93,76.68
04009,88.06,88.0,87.94,87.87,87.81,87.76,87.71,87.63,87.55,87.39,87.24,87.13,87.02
04011,90.0,90.02,90.03,90.05,90.07,89.75,89.43,89.33,89.24,89.22,89.21,89.27,89.34
04012,79.59,79.82,80.06,80.29,80.52,81.19,81.85,81.99,82.14,82.0,81.86,81.83,81.8
04013,83.48,83.49,83.49,83.5,83.51,83.71,83.92,84.16,84.4,84.55,84.69,84.95,85.21
04015,60.08,59.98,59.88,59.79,59.69,59.63,59.57,59.63,59.69,59.82,59.96,59.95,59.94
04017,92.2,92.21,92.22,92.22,92.23,92.27,92.3,92.22,92.14,91.97,91.79,91.41,91.03
04019,86.12,86.21,86.3,86.38,86.47,86.45,86.44,86.71,86.98,87.04,87.11,87.11,87.11
