FIPS,2010 Multi-Unit Structures,2011 Multi-Unit Structures,2012 Multi-Unit Structures,2013 Multi-Unit Structures,2014 Multi-Unit Structures,2015 Multi-Unit Structures,2016 Multi-Unit Structures,2017 Multi-Unit Structures,2018 Multi-Unit Structures,2019 Multi-Unit Structures,2020 Multi-Unit Structures,2021 Multi-Unit Structures,2022 Multi-Unit Structures
01001,39.01,44.59,50.18,55.77,61.35,64.63,67.91,64.04,60.17,60.34,60.5,59.85,59.21
01003,95.73,96.13,96.53,96.93,97.33,97.33,97.33,97.23,97.13,96.44,95.74,95.55,95.35
01005,24.25,23.2,22.16,21.11,20.06,24.1,28.14,26.15,24.16,24.91,25.65,25.3,24.94
01007,36.4,36.05,35.7,35.34,34.99,37.85,40.72,41.95,43.17,43.59,44.02,44.66,45.31
01009,12.03,13.15,14.26,15.38,16.49,14.96,13.44,14.28,15.12,13.5,11.87,13.91,15.94
01011,16.42,19.23,22.05,24.86,27.67,23.32,18.97,25.49,32.0,30.55,29.09,44.98,60.87
01013,44.36,39.77,35.19,30.6,26.01,28.44,30.88,27.52,24.16,22.0,19.83,16.95,14.06
01015,71.83,69.33,66.83,64.33,61.83,61.18,60.52,59.91,59.31,58.9,58.5,57.98,57.46
01017,44.43,50.12,55.8,61.49,67.18,62.81,58.45,60.42,62.4,72.97,83.55,81.38,79.22
01019,20.21,20.76,21.31,21.86,22.41,29.4,36.39,36.82,37.25,32.12,26.99,24.2,21.41
01021,10.63,12.47,14.31,16.15,17.99,17.72,17.45,14.67,11.88,13.87,15.85,12.54,9.23
01023,38.54,34.1,29.67,25.23,20.79,24.36,27.92,23.75,19.58,16.52,13.46,14.7,15.94
01025,27.43,30.35,33.28,36.2,39.13,40.29,41.45,37.68,33.91,28.04,22.18,23.56,24.94
01027,38.28,31.53,24.77,18.02,11.27,8.24,5.22,6.06,6.91,7.79,8.66,10.6,12.54
01029,5.6,6.42,7.24,8.06,8.88,9.2,9.52,8.21,6.91,6.35,5.79,5.77,5.76
01031,20.3,19.0,17.71,16.42,15.12,15.9,16.68,15.9,15.12,18.65,22.18,25.42,28.67
01033,39.65,41.86,44.07,46.28,48.49,46.8,45.11,42.74,40.37,41.41,42.46,46.54,50.62
01035,49.33,41.87,34.41,26.94,19.48,16.2,12.93,10.69,8.44,10.95,13.46,18.31,23.16
01037,9.29,8.16,7.03,5.91,4.78,4.3,3.82,3.85,3.88,6.27,8.66,5.88,3.09
01039,29.85,26.75,23.65,20.55,17.45,16.6,15.76,19.96,24.16,21.12,18.08,17.96,17.85
01041,7.06,6.08,5.09,4.1,3.12,3.96,4.81,5.86,6.91,8.47,10.03,8.8,7.57
01043,53.66,53.77,53.89,54.01,54.12,49.54,44.95,44.71,44.48,46.38,48.28,46.79,45.31
01045,41.82,39.28,36.73,34.19,31.65,28.07,24.48,23.32,22.16,21.0,19.83,25.06,30.29
