FIPS,2010 No High School Diploma,2011 No High School Diploma,2012 No High School Diploma,2013 No High School Diploma,2014 No High School Diploma,2015 No High School Diploma,2016 No High School Diploma,2017 No High School Diploma,2018 No High School Diploma,2019 No High School Diploma,2020 No High School Diploma,2021 No High School Diploma,2022 No High School Diploma
01001,46.14,47.42,48.7,49.98,51.26,49.35,47.44,45.7,43.97,47.38,50.8,46.78,42.76
01003,32.3,32.29,32.27,32.26,32.25,31.12,29.99,31.04,32.09,34.28,36.47,34.75,33.03
01005,91.88,92.0,92.12,92.24,92.36,93.93,95.51,96.26,97.01,96.94,96.88,96.53,96.18
01007,86.28,85.61,84.94,84.27,83.6,80.7,77.81,75.66,73.51,80.02,86.54,90.14,93.73
01009,85.99,85.21,84.43,83.65,82.87,81.73,80.58,82.31,84.05,82.16,80.27,83.8,87.34
01011,85.9,89.18,92.45,95.73,99.01,99.01,99.01,96.96,94.91,95.79,96.66,97.38,98.09
01013,85.48,86.13,86.78,87.44,88.09,82.27,76.44,71.98,67.53,66.08,64.64,63.55,62.46
01015,74.76,75.31,75.86,76.4,76.95,74.97,73.0,71.44,69.88,70.41,70.94,73.23,75.53
01017,91.94,90.25,88.57,86.89,85.2,82.27,79.34,79.5,79.66,80.3,80.94,81.26,81.58
01019,88.57,86.15,83.73,81.31,78.89,77.44,75.99,80.02,84.05,82.16,80.27,83.56,86.86
01021,82.3,83.02,83.75,84.47,85.2,82.72,80.23,78.57,76.92,80.19,83.45,84.54,85.62
01023,93.22,93.21,93.2,93.2,93.19,88.8,84.4,82.03,79.66,80.17,80.68,82.83,84.98
01025,81.47,80.34,79.21,78.08,76.95,76.9,76.85,78.62,80.39,80.66,80.94,84.67,88.39
01027,92.9,92.63,92.36,92.09,91.82,93.22,94.62,94.53,94.43,89.74,85.04,83.62,82.21
01029,94.2,93.41,92.62,91.84,91.05,93.12,95.19,93.34,91.5,86.87,82.24,83.47,84.7
01031,72.02,70.34,68.66,66.98,65.3,62.93,60.55,59.88,59.22,63.84,68.46,68.13,67.8
01033,68.84,67.52,66.2,64.87,63.55,65.92,68.29,68.42,68.55,68.19,67.82,68.34,68.85
01035,93.06,92.14,91.23,90.31,89.4,85.97,82.55,82.33,82.11,76.66,71.2,60.99,50.78
01037,89.46,89.48,89.51,89.53,89.56,92.82,96.08,91.1,86.12,82.35,78.58,80.08,81.58
01039,80.74,79.93,79.12,78.3,77.49,77.34,77.2,75.89,74.59,72.21,69.83,70.84,71.84
01041,88.16,87.87,87.59,87.3,87.01,86.55,86.09,87.66,89.24,90.56,91.88,88.99,86.1
01043,79.53,77.62,75.71,73.8,71.89,72.59,73.29,75.79,78.29,80.11,81.92,79.76,77.6
01045,60.69,60.07,59.44,58.82,58.2,57.77,57.34,59.32,61.29,65.56,69.83,71.23,72.64
01047,79.56,80.75,81.95,83.14,84.34,84.18,84.02,83.28,82.55,79.15,75.75,75.19,74.64
01049,96.56,96.0,95.45,94.89,94.33,95.38,96.43,96.25,96.08,94.78,93.48,94.37,95.26
01051,54.16,51.86,49.55,47.25,44.95,48.73,52.5,55.39,58.29,59.08,59.87,58.41,56.95
01053,89.81,87.77,85.72,83.67,81.63,80.02,78.41,78.83,79.24,83.67,88.1,86.72,85.33
01055,65.05,66.16,67.26,68.36,69.47,70.84,72.21,70.12,68.04,68.94,69.83,70.19,70.54
01057,85.86,86.67,87.47,88.28,89.08,86.14,83.19,79.7,76.22,75.42,74.63,77.8,80.97
01059,95.03,94.44,93.84,93.25,92.65,92.69,92.74,92.77,92.8,92.42,92.04,91.88,91.73
01061,91.37,89.24,87.12,85.0,82.87,85.42,87.97,87.75,87.52,85.48,83.45,82.72,81.99
01063,90.89,91.03,91.17,91.3,91.44,90.81,90.19,92.03,93.86,90.2,86.54,86.7,86.86
01065,94.43,90.62,86.82,83.02,79.21,77.48,75.74,73.8,71.86,79.5,87.14,88.81,90.49
01067,81.6,80.92,80.25,79.57,78.89,78.35,77.81,80.93,84.05,85.92,87.78,87.96,88.13
01069,61.74,61.37,60.99,60.61,60.24,60.75,61.25,61.57,61.89,61.91,61.94,62.2,62.46
01071,87.42,88.33,89.23,90.14,91.05,86.66,82.27,79.07,75.87,76.64,77.4,81.89,86.38
01073,38.6,39.23,39.85,40.48,41.1,39.3,37.5,37.3,37.09,36.78,36.47,36.93,37.38
01075,84.05,83.94,83.82,83.71,83.6,86.18,88.76,82.49,76.22,77.9,79.57,82.83,86.1
01077,58.17,59.0,59.82,60.65,61.48,61.37,61.25,56.97,52.69,52.3,51.91,53.46,55.01
01079,84.3,83.94,83.58,83.23,82.87,85.65,88.44,88.12,87.81,87.35,86.89,85.41,83.93
01081,47.16,46.0,44.83,43.66,42.5,41.12,39.73,35.21,30.69,34.14,37.59,34.91,32.23
01083,67.6,67.59,67.58,67.57,67.56,68.41,69.25,69.04,68.83,69.33,69.83,66.98,64.14
01085,88.73,90.3,91.86,93.43,95.0,94.65,94.3,92.81,91.31,86.78,82.24,82.23,82.21
01087,73.96,73.64,73.32,73.0,72.68,75.55,78.41,78.46,78.51,77.78,77.05,80.49,83.93
