FIPS,2010 No Vehicle,2011 No Vehicle,2012 No Vehicle,2013 No Vehicle,2014 No Vehicle,2015 No Vehicle,2016 No Vehicle,2017 No Vehicle,2018 No Vehicle,2019 No Vehicle,2020 No Vehicle,2021 No Vehicle,2022 No Vehicle
01001,45.09,43.37,41.64,39.92,38.2,35.59,32.98,40.72,48.46,48.05,47.64,36.27,24.91
01003,12.79,11.7,10.62,9.53,8.44,8.58,8.72,11.0,13.28,12.93,12.57,9.1,5.63
01005,92.74,90.41,88.07,85.74,83.41,85.78,88.16,87.51,86.85,90.7,94.56,95.21,95.86
01007,45.63,39.41,33.18,26.96,20.73,38.59,56.45,55.43,54.41,59.98,65.56,71.74,77.92
01009,14.41,15.09,15.77,16.45,17.13,18.1,19.07,21.63,24.2,33.5,42.81,41.1,39.39
01011,97.74,98.05,98.36,98.67,98.98,98.78,98.57,96.78,95.0,95.54,96.09,94.7,93.32
01013,92.77,89.86,86.95,84.03,81.12,74.09,67.05,71.95,76.85,62.24,47.64,45.29,42.95
01015,60.82,56.74,52.66,48.59,44.51,50.48,56.45,53.94,51.42,47.11,42.81,48.2,53.58
01017,80.58,81.4,82.22,83.04,83.86,80.63,77.4,74.82,72.24,73.78,75.33,73.68,72.03
01019,22.27,18.63,14.99,11.34,7.7,10.15,12.61,17.54,22.48,18.05,13.62,13.87,14.13
01021,22.24,25.38,28.52,31.66,34.8,40.09,45.37,40.54,35.72,29.18,22.63,19.0,15.37
01023,74.18,75.72,77.25,78.79,80.32,85.62,90.93,90.94,90.96,80.22,69.48,62.55,55.62
01025,88.06,89.66,91.26,92.86,94.46,94.46,94.46,92.93,91.4,88.38,85.36,89.61,93.86
01027,57.86,55.3,52.74,50.19,47.63,34.01,20.38,22.29,24.2,37.37,50.54,57.76,64.97
01029,46.14,43.73,41.33,38.92,36.52,44.23,51.93,36.54,21.14,39.63,58.12,63.8,69.49
01031,70.01,62.06,54.11,46.15,38.2,43.48,48.77,51.59,54.41,49.31,44.21,34.56,24.91
01033,54.42,54.47,54.51,54.55,54.6,54.77,54.95,55.6,56.26,47.8,39.34,38.42,37.51
01035,84.59,85.81,87.04,88.27,89.49,77.68,65.87,65.76,65.65,77.42,89.18,80.61,72.03
01037,35.16,41.09,47.02,52.94,58.87,61.56,64.25,45.61,26.97,15.73,4.49,13.29,22.08
01039,77.21,68.5,59.8,51.09,42.38,41.12,39.86,40.34,40.82,49.47,58.12,61.55,64.97
01041,70.4,60.64,50.88,41.12,31.36,47.16,62.97,63.1,63.23,68.55,73.87,74.8,75.72
01043,34.34,32.75,31.16,29.57,27.98,24.18,20.38,22.29,24.2,17.79,11.39,11.13,10.88
01045,42.71,43.5,44.29,45.09,45.88,51.94,58.01,52.39,46.77,44.79,42.81,44.62,46.42
01047,97.83,97.87,97.91,97.95,97.99,97.84,97.68,97.56,97.45,97.56,97.68,98.03,98.38
01049,39.05,34.8,30.54,26.29,22.03,23.49,24.96,33.6,42.25,41.63,41.02,34.9,28.79
01051,19.35,20.02,20.69,21.36,22.03,24.16,26.3,29.15,32.0,33.06,34.12,32.37,30.61
01053,66.45,64.12,61.8,59.48,57.15,50.37,43.58,39.65,35.72,49.91,64.1,62.46,60.83
01055,51.49,55.11,58.73,62.35,65.97,61.99,58.01,58.54,59.06,56.34,53.63,41.21,28.79
01057,64.44,71.91,79.37,86.83,94.3,92.1,89.91,79.1,68.29,74.09,79.89,87.02,94.15
01059,62.5,60.12,57.74,55.36,52.98,46.42,39.86,39.38,38.9,45.56,52.23,70.59,88.96
01061,23.07,29.21,35.35,41.49,47.63,52.82,58.01,52.39,46.77,56.98,67.19,68.34,69.49
01063,96.14,95.89,95.65,95.41,95.16,96.64,98.12,98.2,98.28,98.49,98.7,98.12,97.55
01065,94.27,95.15,96.03,96.92,97.8,97.17,96.53,96.36,96.18,90.77,85.36,90.5,95.64
01067,75.71,73.28,70.84,68.4,65.97,64.47,62.97,54.87,46.77,63.0,79.22,79.02,78.81
01069,62.57,61.21,59.86,58.51,57.15,56.8,56.45,57.16,57.88,58.65,59.42,60.82,62.23
01071,47.61,45.26,42.91,40.55,38.2,37.23,36.26,33.19,30.12,24.99,19.86,27.69,35.51
01073,78.73,78.34,77.95,77.56,77.17,77.76,78.35,77.09,75.84,77.1,78.36,74.54,70.73
01075,38.76,44.11,49.47,54.82,60.17,56.05,51.93,60.97,70.01,65.43,60.85,58.24,55.62
01077,54.58,57.82,61.05,64.29,67.53,70.19,72.84,70.56,68.29,66.92,65.56,63.2,60.83
01079,37.74,35.3,32.86,30.42,27.98,25.69,23.4,35.09,46.77,48.66,50.54,47.54,44.54
01081,40.83,40.17,39.52,38.86,38.2,38.17,38.14,34.13,30.12,30.34,30.55,34.97,39.39
01083,26.35,24.59,22.84,21.09,19.33,22.82,26.3,21.02,15.73,19.85,23.97,18.49,13.01
