FIPS,2010 Single-Parent Household,2011 Single-Parent Household,2012 Single-Parent Household,2013 Single-Parent Household,2014 Single-Parent Household,2015 Single-Parent Household,2016 Single-Parent Household,2017 Single-Parent Household,2018 Single-Parent Household,2019 Single-Parent Household,2020 Single-Parent Household,2021 Single-Parent Household,2022 Single-Parent Household
01001,72.62,65.29,57.96,50.63,43.3,37.65,32.0,34.96,37.92,58.57,79.22,66.13,53.04
01003,46.78,41.02,35.25,29.48,23.72,19.32,14.93,14.42,13.91,15.65,17.38,20.75,24.12
01005,94.43,93.17,91.9,90.64,89.37,91.17,92.96,93.82,94.68,95.62,96.56,96.78,97.01
01007,76.12,71.6,67.08,62.56,58.04,45.35,32.66,24.86,17.06,56.72,96.37,86.72,77.06
01009,28.67,31.26,33.85,36.44,39.03,39.61,40.18,34.89,29.61,45.34,61.08,54.01,46.93
01011,98.88,98.31,97.73,97.16,96.59,97.56,98.54,99.05,99.55,99.52,99.49,99.6,99.71
01013,93.06,93.49,93.92,94.35,94.78,93.12,91.47,86.66,81.85,80.53,79.22,78.14,77.06
01015,78.86,76.34,73.83,71.31,68.8,72.95,77.11,78.94,80.77,74.69,68.62,71.0,73.37
01017,90.0,90.36,90.72,91.08,91.44,81.41,71.38,72.27,73.16,70.22,67.28,60.16,53.04
01019,36.53,41.22,45.9,50.58,55.27,48.71,42.15,24.4,6.65,9.95,13.24,22.73,32.23
01021,63.94,63.86,63.79,63.71,63.64,59.35,55.05,67.49,79.94,72.02,64.1,40.72,17.34
01023,68.23,69.33,70.43,71.52,72.62,62.81,53.01,56.19,59.38,71.77,84.15,76.56,68.98
01025,88.03,87.3,86.58,85.85,85.13,61.6,38.08,41.63,45.18,64.98,84.79,84.04,83.3
01027,63.74,69.01,74.28,79.54,84.81,88.19,91.56,82.36,73.16,82.31,91.47,72.25,53.04
01029,38.47,35.7,32.94,30.18,27.41,18.59,9.77,11.14,12.51,14.01,15.5,26.96,38.43
01031,65.78,69.63,73.48,77.33,81.18,79.81,78.45,75.81,73.16,81.47,89.78,90.1,90.42
01033,60.66,59.03,57.39,55.75,54.12,53.28,52.44,51.48,50.53,54.81,59.1,62.24,65.38
01035,92.01,85.94,79.87,73.79,67.72,71.12,74.53,79.57,84.62,77.38,70.15,61.59,53.04
01037,69.25,59.74,50.22,40.71,31.2,17.84,4.49,6.51,8.53,11.38,14.23,24.17,34.11
01039,63.2,63.91,64.63,65.34,66.06,56.17,46.29,55.14,63.99,64.68,65.37,71.21,77.06
01041,75.74,78.48,81.21,83.95,86.69,79.67,72.65,67.49,62.34,63.85,65.37,56.15,46.93
01043,36.53,36.45,36.37,36.28,36.2,31.82,27.44,26.41,25.37,38.3,51.24,54.17,57.11
01045,81.69,77.7,73.72,69.73,65.74,61.25,56.77,53.65,50.53,66.32,82.11,81.31,80.5
01047,98.75,98.75,98.76,98.76,98.76,98.23,97.71,97.09,96.47,95.2,93.92,91.94,89.95
01049,54.96,48.72,42.49,36.26,30.02,44.23,58.45,64.09,69.72,60.48,51.24,51.13,51.03
01051,71.73,71.25,70.78,70.3,69.82,67.51,65.2,66.11,67.02,64.8,62.57,67.97,73.37
01053,89.33,90.88,92.44,93.99,95.54,80.81,66.09,61.03,55.97,67.05,78.13,71.75,65.38
01055,69.79,68.61,67.43,66.25,65.07,64.15,63.23,62.79,62.34,70.78,79.22,76.3,73.37
01057,55.91,59.89,63.86,67.84,71.82,56.94,42.06,38.2,34.35,36.7,39.05,37.65,36.24
01059,63.01,68.76,74.52,80.27,86.02,82.31,78.61,69.0,59.38,65.49,71.61,72.49,73.37
01061,65.65,68.2,70.76,73.31,75.87,74.87,73.86,71.79,69.72,56.44,43.16,31.91,20.65
01063,97.64,95.41,93.19,90.96,88.73,90.92,93.12,84.95,76.79,54.64,32.5,51.89,71.27
01065,95.32,95.62,95.93,96.23,96.53,88.14,79.75,81.38,83.0,68.22,53.44,32.34,11.23
01067,68.04,60.46,52.87,45.28,37.7,34.09,30.47,30.85,31.23,31.86,32.5,35.47,38.43
01069,85.99,85.98,85.97,85.97,85.96,85.43,84.91,82.84,80.77,81.44,82.11,84.04,85.97
01071,41.5,41.3,41.09,40.89,40.69,36.8,32.92,34.52,36.13,41.63,47.14,56.26,65.38
01073,86.12,84.92,83.72,82.51,81.31,82.6,83.89,82.33,80.77,82.46,84.15,81.75,79.35
01075,45.03,53.49,61.94,70.4,78.86,66.65,54.44,32.73,11.02,28.09,45.16,33.63,22.11
01077,46.05,46.11,46.17,46.23,46.29,43.65,41.01,40.31,39.61,44.38,49.14,52.33,55.52
01079,58.81,56.85,54.89,52.93,50.97,45.48,39.99,37.17,34.35,30.43,26.51,18.87,11.23
01081,61.68,58.95,56.21,53.48,50.75,60.28,69.82,73.77,77.71,71.54,65.37,66.36,67.36
01083,47.8,46.84,45.87,44.91,43.94,42.27,40.59,40.1,39.61,45.42,51.24,49.09,46.93
01085,97.74,97.42,97.1,96.79,96.47,96.69,96.91,97.41,97.9,98.76,99.62,97.63,95.64
01087,97.61,97.31,97.0,96.7,96.4,93.88,91.37,86.61,81.85,84.75,87.65,91.25,94.85
01089,61.17,58.88,56.59,54.31,52.02,50.86,49.7,49.35,49.0,63.57,78.13,75.75,73.37
01091,92.61,91.55,90.5,89.44,88.38,88.53,88.67,59.14,29.61,52.51,75.4,78.86,82.31
01093,55.09,50.12,45.15,40.18,35.21,43.92,52.63,48.91,45.18,38.84,32.5,22.41,12.31
01095,67.28,68.89,70.5,72.12,73.73,74.05,74.37,70.69,67.02,71.21,75.4,78.41,81.42
01097,91.82,90.56,89.29,88.02,86.76,86.12,85.48,85.05,84.62,83.91,83.2,83.71,84.22
01099,90.67,85.89,81.11,76.32,71.54,60.64,49.73,51.92,54.12,64.76,75.4,62.31,49.22
01101,95.44,95.72,96.0,96.28,96.56,96.37,96.18,95.48,94.78,95.3,95.83,96.79,97.74
01103,66.99,67.99,69.0,70.0,71.0,72.13,73.26,69.28,65.3,60.33,55.35,56.23,57.11
01105,98.47,98.59,98.71,98.83,98.95,95.59,92.23,90.7,89.18,79.67,70.15,83.95,97.74
01107,89.52,90.19,90.86,91.53,92.2,77.2,62.21,55.6,49.0,67.21,85.42,85.69,85.97
01109,81.06,82.24,83.41,84.59,85.77,83.45,81.12,76.55,71.98,74.34,76.7,79.51,82.31
01111,75.65,74.24,72.83,71.42,70.01,65.98,61.95,56.24,50.53,55.8,61.08,70.79,80.5
01113,96.27,96.15,96.03,95.92,95.8,93.36,90.93,90.05,89.18,92.28,95.39,94.99,94.59
