FIPS,2010 Unemployment,2011 Unemployment,2012 Unemployment,2013 Unemployment,2014 Unemployment,2015 Unemployment,2016 Unemployment,2017 Unemployment,2018 Unemployment,2019 Unemployment,2020 Unemployment,2021 Unemployment,2022 Unemployment
01001,35.17,39.31,43.45,47.6,51.74,42.36,32.98,30.22,27.45,20.71,13.97,14.27,14.57
01003,40.17,43.35,46.53,49.7,52.88,47.65,42.41,36.81,31.21,29.91,28.61,26.27,23.93
01005,78.36,82.07,85.78,89.48,93.19,94.23,95.26,93.71,92.17,86.44,80.71,75.77,70.82
01007,73.65,74.36,75.08,75.79,76.5,65.38,54.25,66.6,78.95,81.9,84.85,89.11,93.38
01009,53.82,55.55,57.28,59.01,60.74,49.33,37.92,32.02,26.11,40.98,55.86,64.85,73.85
01011,88.22,90.63,93.05,95.46,97.87,96.93,95.99,95.99,95.99,58.02,20.05,24.64,29.24
01013,77.53,79.39,81.25,83.11,84.97,84.16,83.35,76.52,69.68,73.28,76.89,80.05,83.2
01015,90.58,90.7,90.81,90.93,91.05,91.81,92.58,90.54,88.5,86.17,83.83,83.93,84.03
01017,96.66,94.29,91.92,89.54,87.17,73.32,59.47,50.57,41.66,32.71,23.77,25.64,27.52
01019,93.22,85.92,78.62,71.32,64.02,50.4,36.77,44.25,51.72,42.47,33.23,34.16,35.09
01021,73.33,71.36,69.39,67.43,65.46,65.06,64.66,69.73,74.81,73.16,71.51,66.55,61.6
01023,94.72,93.69,92.66,91.64,90.61,93.49,96.37,95.77,95.16,86.02,76.89,68.05,59.21
01025,81.8,86.12,90.44,94.76,99.08,98.92,98.76,98.53,98.31,98.04,97.77,98.22,98.66
01027,86.66,84.12,81.58,79.04,76.5,61.33,46.16,55.8,65.45,62.58,59.71,64.55,69.39
01029,94.37,84.0,73.62,63.25,52.88,54.2,55.52,67.23,78.95,48.72,18.49,15.37,12.25
01031,52.77,49.02,45.27,41.51,37.76,39.35,40.94,48.81,56.69,59.06,61.43,56.61,51.8
01033,52.23,56.18,60.14,64.09,68.04,63.76,59.47,58.08,56.69,43.67,30.65,27.29,23.93
01035,93.57,95.12,96.67,98.23,99.78,99.65,99.52,97.94,96.37,92.19,88.0,65.33,42.67
01037,87.33,90.27,93.2,96.14,99.08,97.0,94.91,74.86,54.81,33.01,11.2,26.94,42.67
01039,71.48,71.8,72.13,72.45,72.78,80.66,88.54,88.28,88.03,87.42,86.82,76.33,65.83
01041,68.27,69.93,71.59,73.25,74.91,66.52,58.13,56.47,54.81,42.73,30.65,53.04,75.44
01043,57.35,57.41,57.47,57.53,57.59,48.61,39.64,44.85,50.06,50.89,51.72,46.05,40.38
01045,54.93,60.12,65.31,70.49,75.68,81.33,86.98,87.74,88.5,90.72,92.93,91.71,90.49
01047,97.68,97.83,97.98,98.13,98.28,98.01,97.74,97.23,96.72,96.58,96.44,95.55,94.65
01049,67.6,66.45,65.31,64.16,63.01,52.71,42.41,37.7,32.99,37.34,41.69,37.32,32.96
01051,62.76,60.29,57.82,55.35,52.88,56.17,59.47,60.77,62.07,47.65,33.23,35.88,38.53
01053,83.51,86.75,89.99,93.23,96.47,97.2,97.93,97.9,97.87,96.91,95.96,95.42,94.88
01055,81.92,80.17,78.42,76.66,74.91,73.27,71.63,69.3,66.97,65.69,64.42,69.14,73.85
01057,41.79,51.3,60.8,70.31,79.82,77.17,74.53,74.0,73.47,81.04,88.61,92.22,95.83
01059,61.97,62.23,62.49,62.75,63.01,72.8,82.59,71.45,60.32,53.87,47.42,39.29,31.15
01061,55.12,60.07,65.02,69.96,74.91,80.62,86.34,86.81,87.29,56.36,25.43,29.2,32.96
01063,99.68,99.7,99.72,99.73,99.75,99.42,99.08,99.06,99.04,98.83,98.63,72.0,45.37
01065,96.53,95.05,93.57,92.09,90.61,92.2,93.79,95.33,96.88,95.05,93.22,91.39,89.56
01067,86.0,84.03,82.06,80.1,78.13,68.8,59.47,64.58,69.68,65.55,61.43,61.52,61.6
