FIPS,RUCC_2023,RUCC_2013
01001,2,2
01003,3,3
01005,6,6
01007,1,1
01009,1,1
01011,8,6
01013,6,6
01015,3,3
01017,6,6
01019,8,6
01021,1,1
01023,9,9
01025,9,7
01027,9,9
01029,8,8
01031,4,4
01033,3,3
01035,9,7
01037,8,8
01039,6,6
01041,8,8
01043,4,4
01045,4,4
01047,4,4
01049,6,6
01051,2,2
01053,6,6
01055,3,3
01057,8,6
01059,6,6
01061,3,3
01063,2,8
01065,2,3
01067,3,3
01069,3,3
01071,6,6
01073,1,1
01075,8,8
01077,3,3
01079,3,3
01081,3,3
01083,2,2
01085,2,2
01087,3,6
01089,2,2
01091,6,7
01093,9,7
01095,4,4
01097,2,2
01099,8,7
01101,2,2
01103,3,3
01105,8,8
01107,2,3
01109,6,6
01111,8,6
01113,2,2
01115,1,1
01117,1,1
01119,8,8
01121,4,4
01123,6,6
01125,2,3
01127,1,1
01129,8,8
01131,9,9
01133,8,6
04001,8,6
04003,3,3
04005,3,3
04007,4,4
04009,7,7
04011,9,7
04012,6,6
04013,1,1
04015,3,3
04017,4,4
04019,1,2
04021,1,1
04023,6,4
04025,3,3
04027,3,3
05001,6,6
05003,7,7
05005,7,7
05007,2,2
05009,7,7
05011,7,7
05013,9,9
05015,6,6
05017,9,7
05019,7,7
05021,9,7
05023,6,6
05025,8,3
05027,7,7
05029,6,6
05031,3,3
05033,3,2
05035,1,1
05037,6,6
05039,8,6
05041,9,6
05043,7,6
05045,2,2
05047,8,6
05049,9,9
05051,3,3
05053,2,2
05055,4,4
05057,6,6
05059,6,6
05061,8,6
05063,7,7
05065,9,9
05067,6,6
05069,4,3
05071,7,7
05073,8,8
05075,6,6
05077,8,7
05079,9,3
05081,3,3
05083,8,6
05085,2,2
05087,2,2
05089,9,9
05091,3,3
05093,4,4
05095,9,7
05097,8,8
05099,9,7
05101,9,9
05103,7,7
05105,2,2
05107,7,6
05109,9,9
05111,3,3
05113,7,7
05115,5,5
05117,8,8
05119,2,2
05121,7,7
05123,6,6
05125,2,2
05127,8,6
05129,9,9
05131,3,2
05133,6,6
05135,9,7
05137,9,9
05139,7,7
05141,8,8
05143,2,2
05145,4,4
05147,9,9
05149,9,6
06001,1,1
06003,8,8
06005,6,6
06007,3,3
06009,6,6
06011,6,6
06013,1,1
06015,7,7
06017,1,1
06019,1,2
06021,6,6
06023,5,5
06025,3,3
06027,6,7
06029,2,2
06031,3,3
06033,4,4
06035,7,7
06037,1,1
06039,1,3
06041,1,1
06043,8,8
06045,4,4
06047,2,2
06049,8,6
06051,7,7
06053,2,2
06055,3,3
06057,4,4
06059,1,1
06061,1,1
06063,9,7
06065,1,1
06067,1,1
06069,1,1
06071,1,1
06073,1,1
06075,1,1
06077,2,2
06079,2,2
06081,1,1
06083,2,2
06085,1,1
06087,2,2
06089,3,3
06091,8,8
06093,7,6
06095,2,2
06097,2,2
06099,2,2
06101,3,3
06103,4,4
06105,8,8
06107,2,2
06109,4,4
06111,2,2
06113,1,1
06115,3,3
08001,1,1
08003,7,7
08005,1,1
08007,7,7
08009,9,9
08011,9,7
08013,2,2
08014,1,1
08015,6,7
08017,9,9
08019,1,1
08021,9,9
08023,9,9
08025,8,8
08027,8,8
08029,6,6
08031,1,1
08033,9,9
08035,1,1
08037,5,5
08039,1,1
08041,2,2
08043,4,4
08045,5,5
08047,1,1
08049,9,7
08051,7,7
08053,9,9
08055,8,6
08057,9,9
08059,1,1
08061,9,9
08063,9,7
08065,9,6
08067,6,4
08069,2,2
08071,7,7
08073,8,8
08075,6,7
08077,3,3
08079,9,9
08081,7,7
08083,6,6
08085,5,4
08087,6,6
08089,6,6
08091,9,9
08093,1,1
08095,9,9
08097,7,7
08099,7,7
08101,3,3
08103,9,9
08105,9,7
08107,7,7
08109,9,9
08111,9,9
08113,9,9
08115,9,9
08117,5,5
08119,2,2
08121,9,9
08123,2,2
08125,9,7
09110,1,2
09120,2,1
09130,1,4
09140,2,1
09150,4,2
09160,4,2
09170,2,1
09180,2,2
09190,2,3
10001,3,1
10003,1,2
10005,4,1
11001,1,2
12001,2,1
12003,1,3
12005,3,6
12007,6,2
12009,2,1
12011,1,6
12013,8,3
12015,3,3
12017,3,1
12019,1,2
12021,2,4
12023,4,6
12027,6,6
12029,8,1
12031,1,2
12033,2,2
12035,2,6
12037,8,2
12039,2,2
12041,2,6
12043,8,3
12045,8,6
12047,8,6
12049,6,4
12051,4,1
12053,1,3
12055,3,1
12057,1,6
12059,8,3
12061,3,6
12063,6,2
12065,2,9
12067,9,1
12069,1,2
12071,2,2
12073,2,6
12075,2,8
12077,8,6
12079,8,2
12081,2,2
12083,2,2
12085,2,1
12086,1,4
12087,4,1
12089,1,3
12091,2,4
12093,4,1
12095,1,1
12097,1,1
12099,1,1
12101,1,1
12103,1,2
12105,2,4
12107,4,1
12109,1,2
12111,2,2
12113,2,2
12115,2,1
12117,1,3
12119,3,6
12121,6,6
12123,6,6
12125,8,2
12127,2,2
12129,2,3
12131,2,6
12133,3,7
13001,7,9
13003,9,7
13005,9,3
13007,8,4
13009,4,8
13011,8,1
13013,1,1
13015,1,7
13017,7,6
13019,8,3
13021,3,6
13023,6,3
13025,3,3
13027,3,2
13029,2,4
13031,4,2
13033,2,1
13035,1,8
13037,8,4
13039,4,7
13043,9,1
13045,1,2
13047,2,6
13049,8,2
13051,2,2
13053,2,6
13055,6,1
13057,1,3
13059,3,9
13061,9,1
13063,1,6
13065,8,1
13067,1,7
13069,7,6
13071,6,2
13073,2,6
13075,6,1
13077,1,3
13079,3,6
13081,6,2
13083,2,1
13085,1,6
13087,6,1
13089,1,6
13091,7,6
13093,8,3
13095,3,1
13097,1,6
13099,8,3
13101,3,2
13103,2,6
13105,6,7
13107,7,6
13109,8,8
13111,8,1
13113,1,3
13115,3,1
13117,1,8
13119,8,1
13121,1,6
13123,6,9
13125,9,3
13127,3,4
13129,4,6
13131,6,6
13133,8,1
13135,1,6
13137,6,3
13139,3,7
13141,9,1
13143,1,2
13145,2,6
13147,6,1
13149,1,1
13151,1,3
13153,3,7
13155,9,4
13157,4,1
13159,1,7
13161,9,6
13163,8,6
13165,9,7
13167,9,3
13169,3,1
13171,6,3
13173,3,5
13175,4,3
13177,3,3
13179,3,2
13181,2,3
13183,3,3
13185,3,6
13187,1,2
13189,2,3
13191,3,6
13193,8,3
13195,3,2
13197,2,1
13199,1,8
13201,9,6
13205,6,3
13207,3,9
13209,9,1
13211,1,3
13213,3,2
13215,2,1
13217,1,3
13219,3,3
13221,3,1
13223,1,3
13225,3,1
13227,1,6
13229,8,1
13231,1,4
13233,4,3
13235,8,6
13237,8,9
13239,8,7
13241,9,6
13243,8,2
13245,2,1
13247,1,8
13249,8,6
13251,8,6
13253,8,1
13255,1,7
13257,7,8
13259,2,6
13261,6,8
13263,2,8
13265,8,6
13267,8,8
13269,8,7
13271,9,3
13273,3,4
13275,4,5
13277,5,7
13279,7,9
13281,9,7
13283,9,4
13285,4,6
13287,9,3
13289,3,9
13291,8,6
13293,6,2
13295,2,1
13297,1,5
13299,5,8
13301,8,7
13303,7,6
13305,6,8
13307,8,9
13309,9,6
13311,8,3
13313,3,8
13315,9,6
13317,8,8
13319,8,3
13321,3,2
16001,2,9
16003,9,3
16005,3,9
16007,9,6
16009,8,4
16011,6,7
16013,7,2
16015,2,6
16017,6,3
16019,3,7
16021,9,3
16023,3,9
16025,9,2
16027,2,6
16029,8,7
16031,6,9
16033,8,6
16035,8,8
16037,8,6
16039,6,3
16041,3,6
16043,8,2
16045,2,7
16047,8,6
16049,8,3
16051,3,7
16053,3,3
16055,3,4
16057,4,7
16059,9,8
16061,8,9
16063,8,4
16065,4,7
16067,7,3
16069,3,8
16071,8,2
16073,2,6
16075,6,6
16077,8,6
16079,8,9
16081,9,5
16083,3,8
16085,9,6
16087,6,5
17001,5,3
17003,3,1
17005,1,2
17007,2,7
17009,9,7
17011,7,1
17013,1,7
17015,9,6
17017,6,3
17019,3,6
17021,6,6
17023,8,7
17025,9,1
17027,1,5
17029,5,1
17031,1,7
17033,6,9
17035,9,1
17037,1,3
17039,6,6
17041,8,1
17043,1,6
17045,6,9
17047,9,7
17049,7,6
17051,6,3
17053,3,4
17055,7,6
17057,6,8
17059,8,6
17061,8,1
17063,1,7
17065,9,7
17067,9,9
17069,9,9
17071,9,2
17073,2,6
17075,8,3
17077,5,7
17079,9,7
17081,7,1
17083,1,6
17085,8,8
17087,8,1
17089,1,3
17091,3,1
17093,1,4
17095,4,1
17097,1,4
17099,4,7
17101,9,6
17103,6,4
17105,6,6
17107,6,5
17109,7,1
17111,1,3
17113,3,3
17115,3,1
17117,1,1
17119,1,4
17121,7,2
17123,2,6
17125,8,7
17127,3,3
17129,3,2
17131,2,1
17133,1,6
17135,6,4
17137,4,6
17139,8,4
17141,6,2
17143,2,6
17145,7,3
17147,3,7
17149,9,8
17151,8,8
17153,8,8
17155,8,6
17157,6,7
17159,7,2
17161,2,1
17163,1,6
17165,7,3
17167,3,7
17169,9,9
17171,9,6
17173,8,2
17175,2,4
17177,4,2
17179,2,6
17181,6,3
17183,4,7
17185,7,6
17187,6,6
17189,8,7
17191,9,6
17193,6,4
17195,4,1
17197,1,3
17199,5,2
17201,2,2
17203,2,6
18001,6,2
18003,2,3
18005,3,3
18007,3,6
18009,6,1
18011,1,1
18013,1,3
18015,3,4
18017,4,1
18019,1,3
18021,3,6
18023,6,8
18025,8,7
18027,7,1
18029,1,6
18031,6,4
18033,4,3
18035,3,5
18037,5,3
18039,3,6
18041,6,1
18043,1,6
18045,8,6
18047,1,7
18049,7,6
18051,6,4
18053,4,6
18055,6,1
18057,1,1
18059,1,1
18061,1,1
18063,1,4
18065,6,3
18067,3,6
18069,6,4
18071,4,1
18073,1,6
18075,6,6
18077,6,6
18079,6,1
18081,1,5
18083,7,4
18085,4,6
18087,8,1
18089,1,3
18091,3,6
18093,6,1
18095,1,1
18097,1,6
18099,6,7
18101,9,6
18103,6,3
18105,3,6
18107,6,1
18109,1,1
18111,1,6
18113,6,1
18115,1,6
18117,8,3
18119,3,6
18121,8,6
18123,7,8
18125,8,1
18127,1,2
18129,2,6
18131,8,1
18133,6,6
18135,6,6
18137,6,6
18139,6,2
18141,2,1
18143,6,1
18145,1,8
18147,8,6
18149,8,7
18151,7,3
18153,3,8
18155,8,3
18157,3,6
18159,1,1
18161,8,2
18163,2,3
18165,3,3
18167,3,6
18169,6,8
18171,3,2
18173,2,1
18175,1,5
18177,5,2
18179,2,6
18181,6,2
18183,2,8
19001,8,9
19003,9,6
19005,8,7
19007,7,8
19009,9,2
19011,2,3
19013,3,6
19015,3,3
19017,3,6
19019,6,7
19021,7,8
19023,8,9
19025,9,7
19027,7,6
19029,6,6
19031,8,5
19033,5,6
19035,9,6
19037,8,6
19039,6,7
19041,7,8
19043,8,4
19045,4,7
19047,7,2
19049,2,9
19051,9,9
19053,9,6
19055,8,5
19057,5,7
19059,7,3
19061,3,7
19063,7,6
19065,6,7
19067,7,7
19069,9,8
19071,8,6
19073,8,3
19075,3,2
19077,2,6
19079,6,7
19081,9,6
19083,6,2
19085,2,6
19087,6,6
19089,8,7
19091,7,8
19093,8,6
19095,8,6
19097,6,6
19099,2,7
19101,7,3
19103,3,2
19105,2,8
19107,8,7
19109,7,5
19111,7,2
19113,2,8
19115,8,6
19117,8,8
19119,8,2
19121,2,7
19123,7,6
19125,6,4
19127,4,2
19129,2,7
19131,9,6
19133,8,7
19135,9,6
19137,6,4
19139,4,7
19141,7,7
19143,9,6
19145,6,7
19147,9,3
19149,6,9
19151,9,2
19153,2,2
19155,2,7
19157,6,9
19159,9,9
19161,9,2
19163,2,6
19165,8,7
19167,6,3
19169,3,6
19171,6,9
19173,9,6
19175,6,9
19177,9,5
19179,5,2
19181,2,3
19183,3,9
19185,9,5
19187,5,7
19189,9,7
19191,7,3
19193,3,9
19195,9,7
19197,9,7
20001,7,6
20003,8,6
20005,6,9
20007,9,7
20009,7,6
20011,6,6
20013,8,2
20015,2,9
20017,8,8
20019,9,6
20021,3,9
20023,9,9
20025,9,6
20027,8,7
20029,7,6
20031,8,9
20033,9,4
20035,4,4
20037,4,9
20039,9,7
20041,6,3
20043,3,3
20045,3,9
20047,9,8
20049,8,5
20051,5,7
20053,9,5
20055,5,5
20057,5,6
20059,6,4
20061,3,9
20063,9,9
20065,9,7
20067,7,9
20069,9,9
20071,9,6
20073,8,9
20075,9,8
20077,8,2
20079,2,9
20081,9,9
20083,9,3
20085,3,3
20087,3,9
20089,9,1
20091,1,9
20093,9,2
20095,8,9
20097,9,7
20099,7,9
20101,9,1
20103,1,9
20105,9,1
20107,1,9
20109,9,4
20111,4,7
20113,7,6
20115,8,6
20117,8,9
20119,9,1
20121,1,7
20123,9,5
20125,7,8
20127,8,9
20129,9,6
20131,9,7
20133,7,9
20135,9,7
20137,9,3
20139,3,9
20141,9,9
20143,9,7
20145,9,7
20147,9,3
20149,3,7
20151,7,9
20153,9,4
20155,4,9
20157,9,7
20159,9,3
20161,3,9
20163,9,9
20165,9,7
20167,9,5
20169,5,7
20171,9,2
20173,2,5
20175,7,3
20177,3,9
20179,9,7
20181,9,9
20183,9,9
20185,9,9
20187,9,7
20189,9,2
20191,2,7
20193,7,9
20195,9,3
20197,3,9
20199,9,9
20201,9,9
20203,9,7
20205,9,9
20207,9,1
20209,1,7
21001,7,3
21003,3,6
21005,6,9
21007,3,6
21009,6,8
21011,8,7
21013,7,1
21015,1,2
21017,2,2
21019,2,7
21021,7,1
21023,1,7
21025,9,8
21027,8,1
21029,1,3
21031,3,7
21033,7,7
21035,7,1
21037,1,9
21039,3,6
21041,6,6
21043,2,9
21045,9,2
21047,2,2
21049,2,7
21051,9,9
21053,9,7
21055,8,9
21057,9,3
21059,3,3
21061,3,9
21063,8,6
21065,8,2
21067,2,7
21069,9,7
21071,7,4
21073,4,9
21075,9,1
21077,1,6
21079,8,1
21081,1,7
21083,6,6
21085,6,8
21087,8,2
21089,2,3
21091,8,3
21093,3,7
21095,7,6
21097,6,8
21099,8,2
21101,4,1
21103,1,9
21105,8,5
21107,5,9
21109,9,1
21111,1,2
21113,2,7
21115,7,1
21117,1,9
21119,9,7
21121,7,3
21123,3,5
21125,5,6
21127,2,9
21129,9,9
21131,9,9
21133,9,8
21135,8,7
21137,9,9
21139,3,6
21141,6,9
21143,8,5
21145,3,9
21147,9,3
21149,3,4
21151,4,9
21153,9,7
21155,6,7
21157,8,9
21159,8,6
21161,6,3
21163,1,9
21165,9,6
21167,6,9
21169,9,8
21171,8,6
21173,6,9
21175,9,6
21177,6,6
21179,1,8
21181,8,6
21183,6,1
21185,1,8
21187,8,9
21189,9,1
21191,1,7
21193,7,7
21195,7,6
21197,8,5
21199,5,8
21201,8,7
21203,9,7
21205,6,9
21207,9,2
21209,2,1
21211,1,6
21213,6,1
21215,1,7
21217,7,8
21219,8,2
21221,2,1
21223,8,6
21225,8,3
21227,3,9
21229,8,7
21231,7,8
21233,9,7
21235,7,9
21237,9,2
21239,2,2
22001,2,6
22003,6,2
22005,2,6
22007,2,6
22009,6,6
22011,6,6
22013,8,2
22015,2,2
22017,2,3
22019,2,8
22021,8,3
22023,2,9
22025,9,6
22027,9,7
22029,6,2
22031,2,2
22033,2,7
22035,8,2
22037,2,6
22039,6,7
22041,6,3
22043,3,2
22045,4,2
22047,2,6
22049,6,1
22051,1,6
22053,2,2
22055,2,3
22057,3,6
22059,8,4
22061,4,2
22063,2,7
22065,6,6
22067,3,6
22069,6,1
22071,1,3
22073,3,1
22075,1,2
22077,2,3
22079,3,8
22081,8,6
22083,3,6
22085,8,1
22087,1,1
22089,1,2
22091,2,1
22093,1,1
22095,1,4
22097,4,2
22099,2,4
22101,4,1
22103,2,3
22105,3,9
22107,9,3
22109,3,3
22111,3,2
22113,2,5
22115,4,6
22117,6,2
22119,6,2
22121,2,9
22123,8,2
22125,2,6
22127,8,3
23001,3,7
23003,7,2
23005,2,6
23007,8,6
23009,8,4
23011,4,7
23013,7,8
23015,8,6
23017,6,3
23019,3,8
23021,8,2
23023,2,6
23025,6,6
23027,8,7
23029,9,2
23031,2,3
24001,4,1
24003,1,1
24005,1,1
24009,3,6
24011,6,1
24013,1,1
24015,1,1
24017,1,6
24019,6,1
24021,1,6
24023,8,1
24025,1,1
24027,1,6
24029,6,1
24031,1,1
24033,1,1
24035,1,3
24037,3,2
24039,3,6
24041,6,2
24043,2,2
24045,3,2
24047,4,1
24510,1,3
25001,3,3
25003,3,1
25005,1,7
25007,7,1
25009,1,4
25011,4,2
25013,2,2
25015,3,1
25017,1,7
25019,7,1
25021,1,1
25023,1,1
25025,1,2
25027,2,9
26001,9,7
26003,9,4
26005,4,7
26007,7,9
26009,8,8
26011,8,9
26013,9,2
26015,1,3
26017,3,9
26019,3,3
26021,3,6
26023,6,3
26025,3,2
26027,2,7
26029,7,7
26031,7,7
26033,7,6
26035,8,2
26037,2,7
26039,9,5
26041,5,7
26043,7,2
26045,2,7
26047,7,2
26049,2,6
26051,8,7
26053,7,5
26055,3,6
26057,6,6
26059,6,5
26061,5,7
26063,9,2
26065,2,4
26067,1,7
26069,7,7
26071,9,4
26073,4,3
26075,3,2
26077,2,7
26079,3,2
26081,1,9
26083,9,9
26085,9,1
26087,1,9
26089,3,4
26091,4,1
26093,1,7
26095,9,7
26097,9,1
26099,1,7
26101,6,5
26103,5,7
26105,7,6
26107,6,7
26109,7,3
26111,3,9
26113,8,3
26115,3,2
26117,1,9
26119,9,3
26121,3,6
26123,6,1
26125,1,6
26127,8,9
26129,9,9
26131,9,9
26133,9,9
26135,9,7
26137,7,2
26139,1,7
26141,9,7
26143,7,3
26145,3,1
26147,1,4
26149,4,6
26151,8,7
26153,9,4
26155,4,6
26157,6,2
26159,6,2
26161,2,1
26163,1,7
26165,6,8
27001,8,1
27003,1,6
27005,6,7
27007,7,3
27009,3,9
27011,9,3
27013,3,6
27015,6,2
27017,2,1
27019,1,9
27021,9,7
27023,7,1
27025,1,3
27027,3,8
27029,8,9
27031,9,7
27033,9,4
27035,4,1
27037,1,3
27039,3,6
27041,6,6
27043,8,3
27045,3,7
27047,7,4
27049,6,9
27051,9,1
27053,1,3
27055,3,7
27057,9,1
27059,1,6
27061,6,7
27063,9,6
27065,8,4
27067,4,9
27069,9,6
27071,7,9
27073,9,6
27075,8,9
27077,9,1
27079,1,9
27081,9,7
27083,7,6
27085,4,8
27087,8,8
27089,8,7
27091,6,6
27093,6,1
27095,1,6
27097,6,4
27099,4,9
27101,9,3
27103,3,7
27105,7,8
27107,8,3
27109,3,6
27111,6,6
27113,6,6
27115,8,6
27117,8,3
27119,3,8
27121,8,1
27123,1,8
27125,8,7
27127,9,8
27129,9,4
27131,4,6
