FIPS,2014 MR,2015 MR,2016 MR,2017 MR,2018 MR,2019 MR,2020 MR,2021 MR
01001,7.6,8.4,10.1,11.1,10.6,11.1,14.3,16.5
01003,14.9,16.5,19.9,21.8,20.8,21.7,28.1,32.5
01005,4,4.5,5.4,5.9,5.7,5.9,7.6,8.8
01007,15.3,17,20.5,22.5,21.5,22.4,29,33.5
01009,16.5,18.2,22,24.1,23,24,31.1,35.9
01011,5.6,6.2,7.5,8.2,7.8,8.2,10.6,12.2
01013,7.6,8.4,10.1,11.1,10.6,11,14.3,16.5
01015,12.9,14.3,17.2,18.9,18.1,18.9,24.4,28.2
01017,9.5,10.5,12.6,13.9,13.2,13.8,17.9,20.7
01019,14,15.5,18.7,20.6,19.6,20.5,26.5,30.6
01021,14.5,16,19.3,21.2,20.3,21.1,27.4,31.6
01023,5.8,6.4,7.7,8.5,8.1,8.5,11,12.7
01025,6.2,6.9,8.3,9.1,8.7,9.1,11.8,13.6
01027,8.1,9,10.9,11.9,11.4,11.9,15.4,17.8
01029,10.5,11.7,14.1,15.4,14.7,15.4,19.9,23
01031,6.7,7.5,9,9.9,9.4,9.8,12.7,14.7
01033,7.4,8.2,9.9,10.9,10.4,10.8,14,16.2
01035,11.9,13.2,15.9,17.5,16.7,17.4,22.6,26
01037,9.4,10.4,12.5,13.8,13.1,13.7,17.8,20.5
01039,7.8,8.6,10.4,11.4,10.8,11.3,14.7,16.9
01041,6.4,7.1,8.6,9.4,9,9.4,12.1,14
01043,14.7,16.2,19.6,21.5,20.5,21.4,27.8,32
01045,8.3,9.1,11,12.1,11.6,12.1,15.6,18
01047,5.7,6.3,7.6,8.3,8,8.3,10.8,12.4
01049,16.6,18.4,22.2,24.4,23.3,24.3,31.4,36.3
01051,6.6,7.3,8.8,9.6,9.2,9.6,12.4,14.3
01053,24.5,27.1,32.7,35.8,34.2,35.7,46.3,53.4
01055,15.5,17.1,20.7,22.7,21.6,22.6,29.3,33.8
01057,15.6,17.3,20.8,22.8,21.8,22.8,29.5,34
01059,14.4,15.9,19.2,21,20.1,21,27.2,31.4
01061,9.4,10.4,12.5,13.7,13.1,13.7,17.7,20.5
01063,4.4,4.9,5.9,6.5,6.2,6.5,8.4,9.7
01065,5.1,5.6,6.8,7.4,7.1,7.4,9.6,11.1
01067,6.4,7.1,8.5,9.4,8.9,9.3,12.1,13.9
01069,9.9,10.9,13.2,14.4,13.8,14.4,18.7,21.5
01071,8.9,9.8,11.8,13,12.4,12.9,16.8,19.4
01073,18.6,20.6,24.9,27.3,26.1,27.2,35.2,40.7
01075,7.7,8.5,10.3,11.3,10.8,11.3,14.6,16.8
01077,9.4,10.4,12.5,13.8,13.1,13.7,17.8,20.5
01079,11.8,13,15.7,17.3,16.5,17.2,22.3,25.7
01081,6.3,7,8.4,9.3,8.8,9.2,12,13.8
01083,7.2,7.9,9.6,10.5,10,10.5,13.6,15.6
01085,4.7,5.2,6.3,6.9,6.6,6.9,8.9,10.2
01087,5.5,6,7.3,8,7.6,8,10.3,11.9
01089,11,12.2,14.7,16.1,15.4,16.1,20.8,24
01091,4.4,4.9,5.9,6.5,6.2,6.5,8.4,9.7
01093,6.1,6.7,8.1,8.9,8.5,8.9,11.5,13.2
01095,13,14.4,17.3,19,18.1,18.9,24.5,28.3
01097,12.9,14.3,17.3,18.9,18.1,18.9,24.5,28.2
01099,8.5,9.4,11.4,12.5,11.9,12.4,16.1,18.6
01101,6.1,6.7,8.1,8.9,8.5,8.8,11.5,13.2
01103,14.3,15.8,19.1,21,20,20.9,27.1,31.2
01105,5,5.5,6.7,7.3,7,7.3,9.5,10.9
01107,10.3,11.4,13.7,15.1,14.4,15,19.5,22.5
01109,5.7,6.3,7.5,8.3,7.9,8.3,10.7,12.3
01111,9.8,10.8,13.1,14.3,13.7,14.3,18.5,21.4
01113,12,13.3,16.1,17.6,16.8,17.6,22.8,26.3
01115,20.4,22.5,27.2,29.8,28.5,29.7,38.5,44.5
01117,14.4,15.9,19.2,21,20.1,21,27.1,31.3
01119,3.6,4,4.8,5.2,5,5.2,6.8,7.8
01121,9.9,11,13.2,14.5,13.9,14.5,18.8,21.7
01123,8.8,9.7,11.8,12.9,12.3,12.9,16.7,19.2
01125,12.9,14.2,17.2,18.9,18,18.8,24.3,28.1
01127,27.6,30.6,36.9,40.4,38.6,40.3,52.2,60.3
01129,6.7,7.4,8.9,9.8,9.3,9.7,12.6,14.6
01131,4.5,5,6.1,6.7,6.4,6.6,8.6,9.9
01133,9.5,10.5,12.7,13.9,13.3,13.9,17.9,20.7
02013,10.9,12.1,14.6,16,15.3,16,20.7,23.9
02016,9.7,10.7,12.9,14.2,13.6,14.2,18.3,21.2
02020,17.8,19.6,23.7,26,24.8,25.9,33.6,38.7
02050,8.8,9.8,11.8,12.9,12.3,12.9,16.7,19.3
02060,15.1,16.7,20.2,22.2,21.1,22.1,28.6,33
02063,0,0,0,0,0,0,0,0
02066,0,0,0,0,0,0,0,0
02068,10.3,11.5,13.8,15.2,14.5,15.1,19.6,22.6
02070,13.5,14.9,18,19.7,18.9,19.7,25.5,29.4
02090,12.1,13.3,16.1,17.7,16.9,17.6,22.8,26.3
02100,8.7,9.7,11.7,12.8,12.2,12.8,16.5,19.1
02105,0,0,0,0,0,0,0,0
02110,15.4,17,20.5,22.5,21.5,22.4,29,33.5
02122,17.8,19.7,23.7,26,24.8,25.9,33.6,38.8
02130,14.6,16.1,19.4,21.3,20.3,21.2,27.5,31.8
02150,12.2,13.5,16.3,17.9,17.1,17.9,23.1,26.7
02158,8.2,9.1,10.9,12,11.5,12,15.5,17.9
02164,12.2,13.5,16.2,17.8,17,17.7,23,26.5
02170,16.4,18.2,21.9,24.1,23,24,31.1,35.9
02180,8.5,9.4,11.4,12.5,11.9,12.4,16.1,18.6
02185,9.2,10.2,12.3,13.5,12.9,13.5,17.5,20.2
