FIPS,Aged 17 or Younger,year,Aged 65 or Older,Below Poverty,Crowding,Group Quarters,Limited English Ability,Minority Status,Mobile Homes,Multi-Unit Structures,No High School Diploma,No Vehicle,Single-Parent Household,Unemployment,mortality_rate,county_class,mortality_bin
01001,85.92,2013,18.86,26.8,61.23,9.64,36.55,63.29,78.05,55.77,49.98,39.92,50.63,47.6,7.6,3,2
01003,45.71,2013,62.9,34.91,37.92,29.05,67.54,53.62,54.03,96.93,32.26,9.53,29.48,49.7,14.9,4,6
01005,32.5,2013,38.72,88.63,54.0,94.4,75.78,90.88,91.66,21.11,92.24,85.74,90.64,89.48,4.0,5,0
01007,35.55,2013,25.31,51.02,9.1,89.12,42.23,65.35,91.33,35.34,84.27,26.96,62.56,75.79,15.3,2,7
01009,67.43,2013,43.48,53.9,50.31,13.89,75.51,42.46,84.55,15.38,83.65,16.45,36.44,59.01,16.5,2,7
01011,31.53,2013,27.72,79.93,74.97,86.3,72.12,98.19,94.81,24.86,95.73,98.67,97.16,95.46,5.6,6,0
01013,60.67,2013,61.25,91.33,35.44,30.62,28.03,86.72,85.07,30.6,87.44,84.03,94.35,83.11,7.6,6,2
01015,44.24,2013,37.37,79.07,30.4,58.53,55.32,67.21,61.64,64.33,76.4,48.59,71.31,90.93,12.9,4,5
01017,35.32,2013,62.67,85.41,74.58,28.09,22.34,83.73,72.22,61.49,86.89,83.04,91.08,89.54,9.5,5,3
01019,21.18,2013,75.02,75.13,61.16,32.22,10.84,32.27,95.16,21.86,81.31,11.34,50.58,71.32,14.0,6,6
01021,73.32,2013,30.43,68.12,79.54,11.4,81.38,57.09,95.36,16.15,84.47,31.66,63.71,67.43,14.5,2,6
01023,34.09,2013,77.5,77.6,41.42,25.92,6.39,85.42,93.2,25.23,93.2,78.79,71.52,91.64,5.8,6,1
01025,62.1,2013,56.19,93.81,50.85,21.28,13.05,86.89,90.1,36.2,78.08,92.86,85.85,94.76,6.2,6,1
01027,40.03,2013,68.81,68.25,76.31,50.76,59.99,58.02,91.24,18.02,92.09,50.19,79.54,79.04,8.1,6,2
01029,62.4,2013,58.05,63.32,85.93,20.26,23.12,28.51,92.34,8.06,91.84,38.92,30.18,63.25,10.5,6,4
01031,64.52,2013,36.81,66.67,22.48,23.73,76.62,68.8,61.11,16.42,66.98,46.15,77.33,41.51,6.7,5,1
01033,35.09,2013,65.03,61.93,29.22,12.05,35.89,59.38,43.59,46.28,64.87,54.55,55.75,64.09,7.4,4,2
01035,43.09,2013,73.78,97.83,44.2,3.3,23.62,88.34,91.55,26.94,90.31,88.27,73.79,98.23,11.9,6,5
01037,11.71,2013,61.29,69.62,53.26,51.53,36.57,76.41,95.41,5.91,89.53,52.94,40.71,96.14,9.4,5,3
01039,39.83,2013,76.32,74.06,59.43,37.11,51.13,52.78,72.18,20.55,78.3,51.09,65.34,72.45,7.8,6,2
01041,56.2,2013,52.29,60.03,37.27,18.81,60.06,69.73,92.35,4.1,87.3,41.12,83.95,73.25,6.4,6,1
01043,48.39,2013,54.57,62.1,49.35,30.54,60.41,30.13,77.78,54.01,73.8,29.57,36.28,57.53,14.7,5,6
01045,68.83,2013,27.68,62.34,29.9,57.0,51.85,70.39,74.74,34.19,58.82,45.09,69.73,70.49,8.3,5,2
01047,85.65,2013,33.33,98.54,94.96,33.32,11.98,97.29,76.62,22.83,83.14,97.95,98.76,98.13,5.7,5,0
01049,80.48,2013,32.06,75.28,86.77,22.21,90.23,56.62,85.33,26.6,94.89,26.29,36.26,64.16,16.6,5,7
01051,53.43,2013,16.29,30.69,27.26,87.0,54.84,66.14,72.05,46.55,47.25,21.36,70.3,55.35,6.6,3,1
01053,42.1,2013,43.99,91.32,33.52,88.39,16.18,80.57,80.31,27.76,83.67,59.48,93.99,93.23,24.5,6,9
01055,44.93,2013,51.3,69.5,45.67,38.27,61.12,59.89,51.07,58.18,68.36,62.35,66.25,76.66,15.5,4,7
01057,35.77,2013,70.97,75.02,9.24,47.51,8.47,48.67,79.11,49.02,88.28,86.83,67.84,70.31,15.6,6,7
01059,70.83,2013,43.29,85.42,86.84,14.85,93.84,59.59,68.49,57.85,93.25,55.36,80.27,62.75,14.4,5,6
01061,39.41,2013,68.56,77.48,54.08,11.89,60.28,51.65,91.03,10.93,85.0,41.49,73.31,69.96,9.4,4,3
01063,60.42,2013,55.01,98.65,87.16,5.14,21.59,98.67,97.51,72.59,91.3,95.41,90.96,99.73,4.4,3,0
01065,66.54,2013,48.33,93.73,48.92,50.3,29.34,93.83,96.58,45.38,83.02,96.92,96.23,92.09,5.1,3,0
01067,35.98,2013,74.41,44.03,18.35,22.51,57.48,73.09,87.38,20.9,79.57,68.4,45.28,80.1,6.4,4,1
01069,67.68,2013,38.57,64.15,27.2,19.62,49.48,72.99,63.52,53.77,60.61,58.51,85.97,45.6,9.9,4,4
01071,38.69,2013,59.88,64.36,44.31,21.1,44.93,38.79,85.48,22.55,90.14,40.55,40.89,66.95,8.9,5,3
01073,55.0,2013,22.66,63.36,34.76,58.44,69.72,88.22,13.45,93.98,40.48,77.56,82.51,67.84,18.6,2,8
01075,33.95,2013,75.75,80.51,55.84,41.59,33.7,47.99,71.27,21.52,83.71,54.82,70.4,68.95,7.7,6,2
01077,26.04,2013,61.56,66.89,11.98,53.81,50.41,49.91,41.59,68.9,60.65,64.29,46.23,50.46,9.4,4,3
01079,44.73,2013,39.56,53.12,17.46,6.68,14.61,63.09,85.55,17.01,83.23,30.42,52.93,78.07,11.8,4,5
01081,37.74,2013,3.51,83.67,45.09,72.63,70.91,72.17,76.71,92.25,43.66,38.86,53.48,54.48,6.3,4,1
01083,60.97,2013,17.8,38.49,55.5,77.11,70.39,61.06,58.68,51.02,67.57,21.09,44.91,51.33,7.2,3,1
01085,61.21,2013,42.59,95.37,81.75,10.7,9.01,97.87,96.67,5.1,93.43,95.58,96.79,97.09,4.7,3,0
01087,12.34,2013,38.35,92.87,58.38,93.14,33.86,98.9,81.74,48.22,73.0,97.07,96.7,98.01,5.5,4,0
01089,53.38,2013,17.11,32.2,33.91,57.41,65.78,75.54,22.21,87.43,26.24,36.4,54.31,63.47,11.0,3,4
