FIPS,2010 Pop,2011 Pop,2012 Pop,2013 Pop,2014 Pop,2015 Pop,2016 Pop,2017 Pop,2018 Pop,2019 Pop,2020 Pop,2021 Pop,2022 Pop
01001,54792,55506,55571,55586,56025,56302,56943,57310,57749,58255,58915,59203,59726
01003,183218,187085,190966,196044,200724,204733,209832,215208,220923,226896,233227,239439,246531
01005,27335,27413,27353,27230,27106,26733,26304,25642,25476,25218,24969,24533,24700
01007,22857,22710,22618,22479,22545,22597,22652,22610,22407,22421,22188,22359,21986
01009,57392,57717,57861,58028,58051,58156,58197,58644,58807,58999,59107,59079,59516
01011,10886,10687,10687,10688,10845,10628,10652,10471,10484,10464,10229,10143,10143
01013,20925,20788,20511,20165,20094,19903,19694,19526,19286,19081,19025,18890,18668
01015,118481,118091,117842,117400,117134,116991,116739,116719,116552,116556,116243,115678,115780
01017,34081,34165,34438,34620,34641,34900,34780,34930,35000,34955,34651,34488,34164
01019,25951,25811,25653,25613,25372,25058,24958,24912,24989,25044,24969,25074,25353
01021,43653,43751,43683,43755,43961,44038,44253,44528,44578,44932,45057,45259,45848
01023,13846,13601,13576,13440,13385,13390,13222,13120,13011,12791,12626,12548,12431
01025,25763,25563,25101,25004,24695,24535,24114,23838,23694,23357,22987,22740,22574
01027,13891,13775,13623,13729,13858,14005,14111,14184,14257,14283,14212,14170,14183
01029,14983,14893,14884,14967,15004,14961,14931,14991,15118,15010,15064,15156,15372
01031,50189,50424,51195,50833,50811,51158,51426,52085,52282,52910,53549,54199,54840
01033,54537,54726,54943,55139,55253,55444,55650,56007,56499,56933,57304,57644,57993
01035,13233,13158,12968,12792,12529,12529,12290,12186,11993,11754,11554,11320,11224
01037,11782,11476,11318,11170,10920,10817,10666,10548,10396,10401,10335,10314,10307
01039,37799,38050,37915,38012,38052,37926,37811,37517,37492,37640,37506,37570,37603
01041,13856,13821,13769,13674,13650,13615,13596,13497,13415,13297,13163,13069,13048
01043,80514,80788,81049,81791,82522,83590,84594,85340,86171,86909,88136,89639,90663
01045,50381,50133,50369,49930,49617,49627,49631,49619,49476,49543,49257,49395,49495
01047,43869,43530,43264,42683,42496,42145,41455,40807,40008,39145,38171,37515,36729
01049,71148,71386,70957,70879,70980,70995,71036,71368,71401,71488,71659,71912,72082
01051,79671,80657,81483,82464,83038,83950,84931,85744,86040,87067,87861,88789,89600
01053,38338,38241,38113,37899,37911,37886,37768,37345,36881,36925,36685,36660,36636
01055,104428,104452,104503,104194,103841,103549,103509,103695,103520,103384,103453,103010,102903
01057,17226,17046,16950,16833,16785,16752,16650,16537,16531,16364,16331,16127,16082
01059,31737,31798,31847,31729,31792,31857,32049,32116,31951,32118,32078,31998,31910
01061,26787,26802,26979,26760,26694,26813,26732,26644,26556,26587,26698,26620,26760
01063,8991,8899,8818,8661,8481,8350,8293,8079,7959,7814,7700,7614,7452
01065,15750,15354,15379,15276,15065,15108,14940,14899,14895,14783,14772,14726,14599
01067,17292,17361,17125,17072,17015,17088,17059,17068,17059,17054,17169,17433,17670
01069,101812,102584,103543,103918,104484,104680,104774,104979,105504,106895,107284,107470,108047
01071,53196,53320,53294,53273,52951,52754,52663,52570,52459,52563,52545,52719,52923
01073,658996,660748,662538,665466,667956,669729,671435,672669,674186,674822,674717,669990,665084
01075,14497,14281,14266,14258,14138,14077,14095,14073,14073,13995,13953,13736,13706
01077,92723,92578,92669,92769,93121,92656,92699,92887,92896,93248,94025,94853,95875
01079,34291,34018,33783,33564,33465,33244,33334,33222,33126,33076,33089,33073,33187
01081,140886,144977,150166,154205,157724,160957,164018,167197,170428,172094,174754,177596,180698
01083,83168,85757,87716,89546,91420,92598,94110,95534,97867,101063,104203,107303,110868
01085,11292,11177,10975,10861,10771,10767,10703,10635,10565,10357,10285,9945,9783
01087,21538,21501,20982,20644,20428,20227,20142,20052,19672,19574,19464,18905,18532
01089,336513,341044,345155,350001,354079,357996,362860,369048,375403,381694,390503,396671,403605
01091,20956,20716,20496,20264,20215,20099,19906,19845,19548,19432,19270,18985,18791
01093,30809,30604,30343,30041,30006,29920,29705,29495,29426,29469,29176,29001,29182
01095,93165,94033,94462,94604,94579,94921,95574,96103,96742,97334,97702,98286,99428
01097,413539,413615,414557,414715,415130,415299,416021,415309,415505,414895,414377,413383,411398
01099,23013,22741,22390,21890,21553,21299,21054,20724,20355,19952,19706,19550,19412
01101,229621,229784,229848,229527,229286,229356,229739,230241,229697,229508,228342,226935,226301
01103,119696,120490,120945,120749,120986,121138,121266,121486,122130,122937,123288,123375,124231
01105,10548,10395,10092,9888,9676,9506,9369,9102,8856,8711,8458,8328,7904
01107,19744,19320,19149,19091,19966,20458,19932,19724,19380,19299,18969,18618,18749
01109,32951,32991,33163,33705,33211,33557,33566,33435,33416,33033,32900,32746,33008
01111,22930,22638,22344,22265,21973,22157,21988,22082,21996,21917,22086,22184,22460
01113,53319,54919,57669,59446,59656,59412,58860,57808,58735,59000,59258,58681,58594
01115,83592,84079,84945,86109,86392,87107,87985,88710,89663,90650,91657,92874,93881
01117,196204,198345,201522,204879,207362,210172,212926,215464,217720,220282,223912,227453,230033
01119,13739,13507,13463,13425,13278,13283,13074,12857,12744,12436,12191,11967,11889
01121,82173,82154,82628,82272,82424,82277,81918,81704,81923,82130,81575,80734,80748
01123,41501,41541,41294,41422,41450,41292,41360,41446,41483,41400,41284,41099,40913
01125,195336,198611,202212,206135,209790,213103,216568,219347,221772,225236,231547,235670,236690
01127,67023,66793,66536,66440,66199,66011,65830,65408,65392,65593,65138,64636,64438
01129,17616,17309,16981,16703,16577,16437,16158,15946,15757,15654,15329,15223,15094
01131,11565,11461,11376,11253,11082,11159,11130,10986,10894,10733,10534,10423,10139
01133,24370,24308,24168,24157,24089,23922,23893,23772,23696,23702,23493,23655,23741
02013,3142,3218,3267,3327,3320,3378,3400,3445,3426,3383,3427,3417,3430
02016,5535,5529,5565,5586,5568,5524,5423,5396,5279,5254,5214,5147,5090
02020,294206,297524,300114,303408,302652,300075,300257,297873,294215,292005,290893,289169,286983
02050,17116,17487,17724,17959,18077,18078,18134,18251,18430,18688,18661,18594,18259
02060,985,993,932,904,902,902,924,872,865,833,830,842,870
02068,1808,1785,1771,1757,1685,1695,1757,1725,1673,1686,1614,1595,1575
02070,4827,4950,4917,4955,4935,4974,4947,4925,5000,4924,4838,4796,4724
02090,98336,98270,100483,101089,99394,99548,100617,99651,98414,96706,95337,95593,95202
02100,2478,2481,2415,2318,2252,2242,2201,2141,2096,2075,2084,2074,2070
02105,0,0,0,0,2130,2229,2234,2261,2305,2350,2358,2330,2279
02110,31360,32173,32452,32695,32642,32838,32648,32346,32326,32370,32209,31979,31740
02122,55542,56292,56886,56950,57481,57843,58230,58245,58214,58446,58942,59946,60611
02130,13556,13688,13738,13774,13881,13884,13919,14001,14006,14048,13915,13866,13772
02150,13657,13795,14004,14071,13875,13758,13718,13588,13423,13244,13047,12878,12639
02164,1621,1604,1602,1611,1588,1543,1549,1544,1506,1550,1450,1419,1377
02170,89749,91600,93330,95310,97292,99855,102647,104544,105130,106096,107504,110998,113472
02180,9532,9777,9831,9872,9843,9978,10053,10108,10175,10131,10029,9894,9791
02185,9058,9293,9609,9871,10034,10252,10330,10603,10866,11033,11004,11054,10811
02188,7549,7706,7731,7769,7825,7879,7808,7898,7855,7829,7797,7635,7453
02195,0,0,0,0,3260,3344,3352,3353,3367,3402,3403,3381,3370
02198,0,0,0,0,6221,6286,6225,6114,6045,5842,5741,5720,5650
02201,5703,5746,5771,5746,0,0,0,0,0,0,0,0,0
02220,8843,8856,8967,8933,8816,8786,8708,8666,8594,8533,8426,8383,8353
02230,0,0,0,0,1051,1154,1199,1205,1219,1249,1238,1147,1092
02232,3039,2984,3080,3147,0,0,0,0,0,0,0,0,0
02240,7033,7094,7119,6928,6908,6809,6830,6850,6880,6790,6821,7007,7016
02261,9641,9741,9756,9911,9654,9653,9688,9647,9645,9727,9694,9592,9508
02270,7454,7651,7791,7982,8118,8199,8178,8241,8354,8408,8371,8377,8214
02275,0,0,0,0,2234,2276,2262,2241,2208,2160,2126,2102,2071
02280,6037,6103,6116,6108,0,0,0,0,0,0,0,0,0
02282,657,650,654,637,648,664,668,657,640,636,682,710,685
02290,5586,5623,5637,5624,5536,5641,5611,5599,5602,5477,5309,5278,5169
04001,71656,71388,70846,70349,69249,67918,67717,67229,66913,66435,65913,65389,65533
04003,131791,132893,131644,129028,126593,125567,124645,123604,124898,125376,125527,126119,125487
04005,134633,134533,136643,137490,138586,140234,141967,142872,144749,146023,145192,142897,144223
04007,53533,53261,52748,52682,52599,52524,52731,52840,52972,53159,53351,53549,53922
04009,37136,37025,36850,37252,37809,37580,37492,37096,37554,38352,38646,38921,38822
04011,8315,8532,8732,8904,9314,9648,9714,9551,9577,9652,9528,9400,9327
04012,20406,19927,19323,18842,18338,17915,17608,17207,17000,16750,16569,16385,16535
04013,3822107,3861107,3921817,3979682,4043039,4108853,4178601,4235618,4296931,4368554,4445059,4499438,4555833
04015,200314,202523,202793,202378,202396,203317,204000,205402,207777,210884,214185,217164,220905
04017,107606,106930,106203,105570,105630,105107,105445,105471,106269,106267,106763,107726,108800
04019,981347,986729,990023,992636,998287,1001662,1007699,1016106,1025068,1034904,1045175,1048914,1057476
04021,378129,372915,372920,371895,377293,382893,389238,397959,407247,416367,430187,448993,465037
04023,47373,47735,47503,47157,46937,46977,46948,47163,47171,47557,47712,47956,48680
04025,210956,210764,211464,213634,216682,219526,223000,226235,229968,233230,237217,242352,246230
04027,196926,201466,199950,198744,199175,199155,199918,200778,201551,203170,205659,207284,208874
05001,19034,18880,18882,18664,18391,18263,18047,17757,17547,17266,17107,16687,16498
05003,21817,21638,21403,21162,20787,20659,20316,20040,19715,19357,18957,18654,18348
05005,41483,41244,40915,40812,40663,40865,40809,40917,41184,41437,41686,42224,42485
05007,222574,229120,234795,239085,244336,250358,257936,265250,270564,277470,286618,294297,302822
05009,36853,37026,37240,37240,36991,37044,37139,37308,37312,37367,37381,37894,38280
05011,11470,11402,11222,11076,10944,10934,10895,10712,10718,10678,10495,10343,10168
05013,5359,5205,5193,5049,4967,4979,4886,4890,4865,4776,4736,4728,4687
05015,27539,27493,27659,27808,27759,27757,27665,27855,27953,28280,28240,28539,28717
05017,11796,11700,11534,11429,11330,11145,11087,10825,10651,10381,10156,10052,9834
05019,22915,22863,22600,22357,22261,22171,22170,21711,21764,21692,21385,21244,21276
05021,16026,15838,15692,15488,15313,15327,15184,14961,14905,14632,14529,14362,14271
05023,25959,25804,25730,25516,25492,25196,24984,24894,24933,24811,24704,25028,25253
05025,8672,8654,8492,8377,8200,8088,8015,7887,7689,7581,7552,7486,7467
05027,24709,24611,24209,24030,23705,23739,23585,23210,23081,22943,22744,22490,22286
05029,21220,21085,21053,20973,20852,20787,20735,20620,20581,20668,20730,20902,21021
05031,96727,98366,99848,101474,102476,104120,105584,106771,108474,110103,111619,111794,112863
